gene	mean_diff	cv_FXS_zscore
ACER3	-3.054805833	0.271450325
ACHE	-6.378291667	0.865668899
ACIN1	-4.023516667	0.815648723
ACKR1	-2.379916667	-0.655339201
ACKR2	-0.266785833	0.560805848
ACKR3	-9.434675	-0.188563942
ACKR4	-5.621758333	-0.737050365
ACLY	-22.17765	-0.135799132
ACMSD	-7.065316667	-1.148094956
ACO1	3.95385	-1.223635501
ACO2	2.415006667	-0.403694334
ACOT1	9.441758333	-1.451319837
ACOT11	-9.971125	-1.090585624
ACOT13	-27.3555	-0.668348416
ACOT2	-4.569691667	-1.225882308
ACOT7	-1.96521	0.734335865
ACOT8	-9.5011225	0.019232683
ACOT9	5.0803	-0.724487717
ACOX1	-0.958683333	0.081344658
ACOX2	6.201991667	-0.326829288
ACOX3	3.860631667	-0.534945941
ACOXL	-27.01225833	-1.22162361
ACP1	-6.149658333	-0.352180349
ACP2	-5.992310833	0.248538706
ACP3	-3.786930833	0.861560517
ACP4	-30.76262333	0.780503036
ACP5	-3.751366667	-0.685042009
ACP6	-7.212513333	0.590454324
ACP7	-6.019641667	-0.504001481
ACRBP	-0.798225	0.027170325
ACRV1	3.163685	-0.725796096
ACSBG1	-0.626175	-0.038885064
ACSBG2	-94.51658333	-0.455482553
ACSF2	0.997003333	0.304145632
ACSF3	-2.745225	-0.501133753
ACSL1	-0.56495	0.180451079
ACSL3	-5.357191667	-0.241209435
ACSL4	-7.985891667	0.01438322
ACSL5	5.077575	-0.680320925
ACSL6	4.614733333	0.367497633
ACSM2A	-9.840341667	-0.978385734
ACSM2B	-4.321941667	-0.880916816
ACSM3	9.356633333	-0.963270019
ACSM6	-1.564591667	-0.273846731
ACSS1	4.6052	0.051031362
ACSS2	-0.849241667	0.173389288
ACSS3	4.2013125	1.289708588
ACTA1	-11.487875	0.203494335
ACTA2	3.413529167	1.731222897
ACTB	-7.273541667	0.555351675
ACTC1	-0.226825	-1.138030606
ACTG1	-7.1370225	1.572821223
ACTG2	-0.468575	0.118591666
ACTL10	7.222538333	0.568035403
ACTL6A	3.49602	-0.570753512
ACTN1	3.540133333	-0.507922272
ACTN2	-5.707316667	-1.155632769
ACTN3	-3.6615	-0.678821358
ACTN4	-3.384158333	-1.39426298
ACTR10	-1.387110833	-0.559966645
ACTR1A	6.103378333	0.55876379
ACTR1B	2.274666667	0.770415487
ACTR2	-9.767783333	-0.068530985
ACTR3	3.0242875	0.424499223
ACTR3B	0.454883333	-0.317914794
ACTR3C	-9.047133333	-0.513070093
ACTR5	-0.294733333	0.308313195
ACTR6	-6.7522975	0.891551508
ACTR8	3.149938333	0.161161382
ACTRT3	-6.924366667	-1.388453751
ACVR1	2.467858333	-1.439477746
ACVR1B	-0.686941667	-1.212020619
ACVR2A	0.81225	-0.5792978
ACVR2B	2.843508333	1.005361874
ACY1	-4.016563333	0.4316039
ACYP1	3.2341	-0.479768084
ACYP2	32.6392	-1.091546439
ADA	-0.727416667	-0.752842223
ADA2	3.435691667	0.014424993
ADAL	7.160183333	-0.156449723
ADAM10	5.061185833	1.450492738
ADAM11	0.285088333	0.35568786
ADAM12	-3.115316667	-1.129110575
ADAM15	-2.27999	0.785060659
ADAM17	1.940903333	0.336600501
ADAM19	9.909341667	-0.91459644
ADAM20	9.198158333	-1.256671749
ADAM22	1.258033333	-0.180403193
ADAM23	-0.25248	0.261426916
ADAM28	-21.932675	-0.390721233
ADAM32	-17.34725833	-1.31823193
ADAM33	-6.2187325	-0.456064554
ADAM8	-1.774726667	1.656212108
ADAM9	6.567658333	-1.773821453
ADAMTS1	3.35405	-0.983613775
ADAMTS10	5.969475	-0.259840788
ADAMTS12	7.408341667	-0.194394031
ADAMTS13	-2.251158333	-0.313054517
ADAMTS14	-2.52515	0.183584696
ADAMTS15	0.530445	1.17061064
ADAMTS16	-14.026975	-0.621259755
ADAMTS17	-5.646975	-0.728147252
ADAMTS18	-7.785108333	-1.16157353
ADAMTS19	0.126806667	-0.242598657
ADAMTS2	-55.06758333	-0.114174709
ADAMTS20	-1.792741667	-0.396199213
ADAMTS3	6.257858333	-0.185576263
ADAMTS4	2.887	0.27955668
ADAMTS5	0.498783333	-0.368769845
ADAMTS6	5.950775	0.20214699
ADAMTS7	-2.341098333	0.284670437
ADAMTS8	4.941425	-1.1262294
ADAMTS9	5.985916667	-0.894884168
ADAMTSL1	13.92633333	-1.405740024
ADAMTSL2	-1.579314167	0.549165389
ADAMTSL3	4.057741667	0.344501251
ADAMTSL4	-1.345033333	0.416561803
ADAMTSL5	-18.2678	2.152761528
ADAP1	-7.776541667	0.399967535
ADAP2	0.189928333	0.103029297
ADAR	5.630448333	-0.380577405
ADARB1	2.176833333	-0.561326316
ADARB2	-4.46395	-0.406027533
ADAT1	-25.79809167	-0.6043972
ADAT2	10.065825	-0.143553744
ADAT3	-10.06656667	-0.31590822
ADCK1	1.743783333	-1.092753451
ADCK2	-6.878941667	-0.810833471
ADCK5	-0.383825	0.801428475
ADCY1	2.120975	0.375295532
ADCY2	-5.258166667	-0.217308312
ADCY3	-6.020975	0.693642685
ADCY5	1.936059167	-0.327125078
ADCY6	-1.0315225	1.003458978
ADCY7	0.665930833	-0.291606808
ADCY8	3.18185	0.069658816
ADCY9	-4.726633333	-0.063100451
ADCYAP1	-2.602745833	1.044352056
ADCYAP1R1	0.108616667	0.080468744
ADD1	-3.494416667	-0.99585924
ADD2	0.3209625	0.139914343
ADD3	5.200746667	-0.508829903
ADGB	19.552975	-0.671269773
ADGRA1	2.734156667	1.110702482
ADGRA2	-4.812908333	0.840301184
ADGRA3	4.997125	-0.258409329
ADGRB1	-14.30559167	1.089020281
ADGRB2	3.3889175	-0.72398679
ADGRB3	1.1564225	0.008895623
ADGRD1	5.61575	-0.890539409
ADGRD2	-8.429416667	-0.22287489
ADGRE2	-95.308	-1.354936426
ADGRE5	-15.574185	0.732242953
ADGRF1	7.575541667	-0.464265956
ADGRF3	1.3559	-0.143752562
ADGRG1	-5.70114	2.322782372
ADGRG2	2.673028333	0.570126826
ADGRG5	-9.925708333	-1.144656889
ADGRG6	-8.658416667	-0.795914234
ADGRL1	-2.585469167	0.117898484
ADGRL2	2.316625	1.235992972
ADGRL3	4.612866667	-0.635456152
ADGRL4	7.319766667	0.088341138
ADGRV1	-13.6324	0.486839157
ADH1B	5.70775	-0.117337204
ADH4	39.16533333	-0.808533651
ADH5	7.674200833	0.940904369
ADH6	2.0903	1.024074482
ADHFE1	-2.271876667	0.133085203
ADI1	2.2485	-0.598088334
ADIPOR1	0.859345	0.480448502
ADIPOR2	1.07055	-1.057506952
ADK	-0.541755	1.334087193
ADM	4.8314	-0.203334093
ADM2	-1.0838	1.140320685
ADM5	1.058139167	0.507761214
ADNP	-5.596675	-0.284541385
ADNP2	-18.53379167	0.708066513
ADO	3.4675175	0.723438453
ADORA1	0.201459167	1.613073108
ADORA2A	1.0226475	0.515219368
ADORA2B	0.544783333	0.495808491
ADPGK	-0.309815833	1.797633189
ADPRH	-8.825866667	-1.566020152
ADPRHL1	0.608424167	0.63939108
ADPRM	-2.723995	-0.692305322
ADPRS	3.2201675	-0.30146445
ADRA1A	3.981358333	0.074428337
ADRA1D	-0.3517825	0.496939454
ADRA2B	-26.2527	1.349463089
ADRA2C	2.959323333	3.137148784
ADRB2	-2.083040833	0.383776793
ADRM1	-9.780864167	0.191366735
ADSL	9.58694	-0.35020014
ADSS1	-5.341695	1.678465823
ADSS2	3.351425	0.153888318
AEBP1	-2.694761667	0.152884678
AEBP2	-7.910791667	-0.567785171
AEN	-0.820564167	1.679185039
AFAP1	-3.606083333	-0.113881371
AFAP1L1	-0.657683333	-0.492578163
AFAP1L2	-13.48923333	-0.648186096
AFDN	3.99773	-0.026057335
AFF1	1.158843333	-0.175648108
AFF2	1.507643333	0.312558403
AFF3	-6.009216667	0.265656541
AFF4	5.5336275	0.712502182
AFG1L	-3.949875	-0.459080821
AFG3L2	-5.401141667	-0.347874855
AFMID	-2.883491667	0.297535433
AFTPH	4.331990833	0.158872521
AGA	2.62735	-0.562140227
AGAP1	0.602916667	0.30258188
AGAP2	-5.746041667	0.965842953
AGAP3	-2.088605833	-0.610593099
AGAP4	-0.274942	2.405582621
AGAP5	1.379135333	0.106234427
AGAP6	-1.862809167	1.195809412
AGAP9	0.538544667	3.794813421
AGBL1	-0.95725	0.948528022
AGBL2	3.774641667	-0.234454776
AGBL3	6.508363333	1.233562745
AGBL4	-0.946283333	-0.866991528
AGBL5	-1.809055833	0.987478303
AGER	-4.617453333	1.001756408
AGFG1	3.309675	-0.756843203
AGFG2	0.6096275	-0.266921898
AGGF1	8.792625	-0.472527246
AGK	1.923716667	-0.645172756
AGL	-10.30816667	0.104388416
AGMAT	3.189333333	0.040975094
AGMO	3.281308333	0.22497247
AGO1	-0.8813625	0.216261468
AGO2	0.6904025	-0.359477893
AGO3	-1.499875	-1.603363869
AGO4	1.333685	0.279669064
AGPAT1	-2.972575	0.211855495
AGPAT2	-6.583576667	0.052719433
AGPAT3	-13.85879167	-1.499779868
AGPAT4	-19.40033333	0.137775441
AGPAT5	3.120291667	-0.174093581
AGPS	-2.208269167	-0.015822341
AGRN	-0.923618333	2.00583859
AGT	-1.406733333	-1.025674976
AGTPBP1	1.306958333	-1.385239363
AGTRAP	3.492675	1.363225555
AHCTF1	-8.770366667	-0.526723115
AHCY	2.044183333	-0.684033241
AHCYL1	-27.706925	1.254299179
AHCYL2	-4.639383333	-1.327412396
AHDC1	-3.082929167	0.364483512
AHI1	11.44755833	0.502273833
AHNAK	-22.339925	-1.117026723
AHNAK2	-13.33268333	-0.285780688
AHR	2.733308333	-1.03366294
AHRR	-9.144383333	1.208336
AHSA1	3.335531667	0.259092082
AICDA	-2.88915	-1.16412247
AIDA	0.060379167	0.424726499
AIF1L	-3.9004625	0.860013242
AIFM1	-1.418279167	0.163827359
AIFM2	-2.475391667	0.308276899
AIFM3	-5.196716667	-1.216158679
AIG1	1.074366667	-0.621615915
AIM2	4.617108333	-0.679657362
AIMP1	-12.50710833	-0.86317393
AIMP2	4.2309375	1.200194679
AIP	-3.295238333	0.69050864
AIPL1	-4.641683333	-0.595327719
AIRE	-6.12763	-0.637853005
AJAP1	59.1268825	3.04161403
AJM1	11.579875	2.849357296
AJUBA	-19.2484	0.432288887
AK1	-2.158891667	0.481191512
AK2	1.526991667	0.288895997
AK3	-1.3639	-0.446857441
AK4	3.876708333	0.157809575
AK5	-0.22399	-0.64164052
AK6	-0.265641667	-1.474101487
AK7	-4.227583333	0.875427143
AK8	0.148791667	-0.960804797
AK9	5.058475	0.396011177
AKAP1	0.085441667	-0.944137367
AKAP10	1.859208333	-0.721695771
AKAP11	2.256266667	-0.925411867
AKAP12	-0.8455	-0.58832638
AKAP13	-1.829525	-1.114879789
AKAP17A	-0.1726825	0.819742267
AKAP3	1.627858333	-1.478637704
AKAP5	-0.7877225	-0.093474969
AKAP6	-3.028658333	0.684114174
AKAP7	-0.153091667	-0.053868188
AKAP8	-7.673591667	0.346553931
AKAP8L	-8.08055	-1.097409577
AKAP9	1.1281	-1.525674976
AKIP1	-2.7242	-0.09466287
AKIRIN1	-0.1851	0.169805202
AKIRIN2	-1.869625	-0.670312028
AKNA	-6.318058333	-1.484551129
AKR1A1	-2.12075	-0.919880531
AKR1B1	-6.381600833	0.894183358
AKR1B15	4.320883333	-0.791632096
AKR1C1	3.393516667	-1.341554358
AKR1C2	3.433058333	-0.591652926
AKR1E2	4.341433333	-1.316917139
AKR7A2	-1.96492	0.305764401
AKR7A3	-14.74726667	-0.589598696
AKT1	-20.20286667	-0.198459604
AKT1S1	-9.625356667	0.653022664
AKT2	-5.606908333	1.720092969
AKT3	1.22315	0.128317855
AKTIP	0.19008	0.469977242
ALAD	-6.310596667	0.500822219
ALAS1	-3.707208333	-0.450751824
ALCAM	-0.125660833	0.179075862
ALDH16A1	-5.091791667	0.522084181
ALDH18A1	5.87946	-0.077372924
ALDH1A1	7.687008333	0.218723761
ALDH1A2	6.5152	-0.409040587
ALDH1A3	-1.617648333	-1.3849626
ALDH1B1	-8.718416667	-0.262357252
ALDH1L1	5.79622	0.384982175
ALDH1L2	-0.204691667	0.630107774
ALDH2	-16.58906667	0.211110739
ALDH3A2	9.351966667	-0.483207118
ALDH3B1	2.614975	-0.748581109
ALDH4A1	-2.115334167	0.793379853
ALDH5A1	-2.500058333	-0.338703244
ALDH6A1	3.604204167	0.841058342
ALDH7A1	1.8063525	0.154252413
ALDH8A1	10.69085833	-0.419646076
ALDH9A1	1.800631667	-0.089638474
ALDOA	-2.91462	0.914418328
ALDOB	0.428016667	-1.024027334
ALDOC	0.83887	1.440158908
ALG1	4.931098333	-0.726071076
ALG10	-19.290375	0.78075362
ALG10B	11.31921667	2.14564059
ALG11	-11.309175	-0.499173617
ALG12	-4.532733333	-0.84907252
ALG13	1.742495	-0.166914419
ALG14	-11.57354167	-1.512314786
ALG1L2	-13.01044167	-0.908441556
ALG2	1.3288	0.702635498
ALG3	-6.010004167	-0.391922759
ALG5	0.991608333	-0.258269873
ALG6	-4.032268333	0.032477814
ALG8	2.029841667	-1.475231564
ALG9	-0.139116667	0.452732153
ALKAL2	0.201655	0.302398717
ALKBH1	0.09345	0.086959707
ALKBH2	-2.741225	-0.384243892
ALKBH3	-0.755208333	-0.90504731
ALKBH4	-1.049001667	0.087503038
ALKBH5	-10.7832475	0.848746549
ALKBH6	-0.353635	2.144477312
ALKBH7	-14.36578333	0.288599075
ALKBH8	17.19594167	-0.940037857
ALMS1	-5.882741667	-1.08447401
ALOX12	-6.0162875	0.594655136
ALPK1	3.538516667	-0.688326841
ALPK2	-5.769566667	-0.273516869
ALPK3	-8.2296	-0.876409008
ALPL	3.700145833	1.216681579
ALS2	0.97447	0.930198354
ALS2CL	-0.628978333	0.763228238
ALX4	-10.14346667	-0.177399786
ALYREF	-0.259905	1.040782654
AMACR	-4.272666667	-1.087889257
AMBRA1	-6.1818175	-0.093956344
AMD1	-4.408658333	-0.383040242
AMDHD1	-20.69135833	0.484511768
AMDHD2	-0.566235	1.311504739
AMER1	2.861380833	0.636099412
AMER2	-6.78035	0.131228003
AMER3	2.074243333	0.788708674
AMFR	2.5321025	0.67360528
AMH	-19.93003333	3.147378896
AMIGO1	-0.545916667	-0.765099315
AMIGO2	-0.017408333	-0.556540584
AMIGO3	5.014370833	0.999788139
AMMECR1	7.092253333	0.394879757
AMMECR1L	0.971750833	0.141466174
AMN1	-14.81641667	-1.03532465
AMOT	-8.7272	-0.887090396
AMOTL1	-3.546933333	-0.010386486
AMOTL2	-5.83401	0.302982337
AMPD2	-1.4535125	-0.018370107
AMPD3	-2.846951667	0.049926528
AMPH	6.856975	-1.105980626
AMT	-2.381244167	-0.155118943
AMY2B	4.372391667	-0.546062386
AMZ1	-6.077641667	-0.869639534
AMZ2	2.522279167	-0.568680705
ANAPC1	10.35441667	-1.247003388
ANAPC10	-1.145366667	-1.135470076
ANAPC11	-2.945288333	1.932041258
ANAPC13	-2.5450125	-0.536792273
ANAPC15	-1.916358333	-1.223176664
ANAPC16	-2.151846667	-0.090084437
ANAPC2	1.885156667	1.184179531
ANAPC4	-12.32829167	-0.069743799
ANAPC5	2.329483333	-0.652886831
ANAPC7	-6.432695	0.068304987
ANG	3.365339167	-0.350377569
ANGEL1	-2.944008333	-0.770208998
ANGEL2	6.182835833	0.748813054
ANGPT1	-0.049806667	-0.995472928
ANGPT2	1.695558333	1.183635562
ANGPT4	-1.7956	-0.954821669
ANGPTL1	-1.927108333	-0.191245204
ANGPTL2	4.4306	0.798902086
ANGPTL3	2.984480833	2.557106281
ANGPTL4	-9.129258333	0.21491373
ANGPTL7	4.540258333	-1.582408054
ANK1	1.475325	-0.3860591
ANK2	2.239225	-0.255432247
ANK3	-0.293925	0.2777516
ANKAR	13.48011667	-0.782641978
ANKDD1A	-1.992641667	-0.41517688
ANKEF1	-2.319758333	-1.405163201
ANKFN1	-11.04945	-1.555844199
ANKFY1	5.930645	-0.800914166
ANKH	0.3773	-0.131112312
ANKHD1	-8.032965833	-0.447582431
ANKIB1	-6.111508333	0.252265472
ANKLE1	-13.85490833	-0.463757097
ANKLE2	-19.44795333	1.094221707
ANKMY1	-35.06144167	-0.327859724
ANKMY2	6.857683333	0.294070639
ANKRA2	9.3086	0.659554395
ANKRD1	-4.114408333	-1.225284246
ANKRD10	-2.040225	0.130777494
ANKRD11	-8.36825	-0.596746385
ANKRD12	7.95797	-0.264270559
ANKRD13A	-6.852833333	0.012965648
ANKRD13B	0.637666667	-0.187877757
ANKRD13C	12.69134167	-1.032505881
ANKRD13D	-23.42595833	-0.481825983
ANKRD16	-13.2727	-0.961516637
ANKRD17	-6.356286667	0.268775152
ANKRD18A	3.0885	-0.691143233
ANKRD18B	-4.545516667	-0.877407004
ANKRD20A1	-1.499116667	8.143990278
ANKRD23	-1.274404167	0.571556627
ANKRD24	0.454974167	0.469037256
ANKRD26	5.40036	0.184776416
ANKRD27	-12.44045	-0.122686735
ANKRD28	0.852483333	0.844433607
ANKRD29	4.057183333	-0.574061073
ANKRD30B	-132.7478083	3.439244088
ANKRD30BL	1.907565	0.414198297
ANKRD31	4.7046	0.50470766
ANKRD33B	-9.0469425	0.962730008
ANKRD34A	-21.741125	-0.50065801
ANKRD34B	6.685091667	-0.923554902
ANKRD35	-2.601591667	-0.410055454
ANKRD36	0.954214167	0.385563315
ANKRD36B	-0.485575	-0.577653527
ANKRD36C	-3.7302	-0.316639148
ANKRD37	4.930571667	0.65968948
ANKRD39	-1.607254167	0.809556743
ANKRD40	-1.225391667	-0.868210726
ANKRD40CL	-0.271458333	-0.583173709
ANKRD42	0.551116667	-1.305345997
ANKRD44	4.127491667	-1.464865189
ANKRD45	-27.70241667	-0.704361796
ANKRD46	11.07779083	1.486143622
ANKRD49	3.45834	0.772069571
ANKRD50	-2.9219	-0.314209955
ANKRD52	0.507563333	1.827668808
ANKRD53	-3.154916667	0.530506441
ANKRD54	7.872990833	0.672886142
ANKRD6	-14.1795	-0.037979681
ANKRD60	-14.42493333	-0.565494399
ANKRD61	2.566851667	0.317697914
ANKRD65	-6.298441667	-0.82645807
ANKRD9	0.035850833	1.594740569
ANKS1A	2.902033333	1.28192926
ANKS1B	-1.320241667	0.183576077
ANKS3	-0.0455	-0.250774559
ANKS6	4.30945	-0.896954077
ANKUB1	4.6434	0.833315303
ANKZF1	-0.537941667	0.440214944
ANLN	-24.043825	-1.535995139
ANO10	-3.770758333	0.035614211
ANO2	4.043591667	-1.144612285
ANO3	7.128608333	-1.108042875
ANO4	-3.071989167	0.238714937
ANO5	0.103358333	-0.891267374
ANO6	-13.0041	-0.575590049
ANO7	-2.198244167	0.153391178
ANO8	-15.1599375	0.646176135
ANO9	-16.33885833	1.316999153
ANOS1	1.674699167	1.105630018
ANP32A	-3.157141667	-0.106450955
ANP32B	-4.048766667	-0.202002291
ANP32E	-0.931875	-0.722715806
ANPEP	14.67435	-1.726250489
ANTKMT	3.012278333	2.396226517
ANTXR1	5.664643333	0.391934484
ANTXR2	-0.079616667	-0.987766464
ANXA1	0.060116667	-1.081498838
ANXA11	7.3032	0.344262363
ANXA13	-3.285766667	-0.739706648
ANXA2	-6.772408333	-1.240945354
ANXA2R	-17.10343333	1.111713256
ANXA3	-4.780633333	-0.967211333
ANXA4	-1.875058333	-0.695212753
ANXA5	1.758893333	0.448952801
ANXA6	-0.750841667	-0.83152032
ANXA7	11.52572583	1.439797812
ANXA9	-4.344891667	-0.173998861
AOAH	-13.12795833	-1.018274701
AOC2	1.915535	0.643957581
AOC3	-2.111391667	0.554227818
AOPEP	-1.24435	-0.712490222
AOX1	-3.8544475	1.070488559
AP1AR	2.156604167	-0.174753656
AP1B1	3.968608333	-0.626999769
AP1G1	-2.813208333	-0.502083249
AP1G2	-0.517115833	0.19419664
AP1M1	-2.601679167	-0.568424382
AP1S1	-5.756766667	0.164294528
AP1S2	2.699641667	-0.027268087
AP1S3	7.574683333	-0.03776509
AP2A1	5.351225	0.423984451
AP2A2	-6.357266667	-0.60856465
AP2B1	2.552791667	0.636168677
AP2M1	1.9190075	0.92034864
AP2S1	-1.316333333	-0.575722949
AP3B1	8.595558333	-0.925717991
AP3B2	1.427015	0.492103688
AP3D1	-21.40298333	-0.262601937
AP3M1	5.304594167	2.708081314
AP3M2	-1.793175	-0.349070721
AP3S1	2.186411667	-0.483160771
AP3S2	4.8608925	0.653976027
AP4B1	0.863308333	0.073029603
AP4E1	2.716736667	-0.423096566
AP4M1	0.082991667	1.60035345
AP4S1	1.812229167	0.531254196
AP5B1	-15.38629167	0.862537867
AP5M1	6.480883333	-0.118223393
AP5S1	2.0341225	0.132135731
AP5Z1	2.478760833	0.766149246
APAF1	1.711944167	0.331339475
APBA1	-11.294975	-0.76151723
APBA2	-7.573738333	0.179010844
APBA3	-13.56040667	-0.12574903
APBB1	2.551618333	1.160149154
APBB2	2.795375	-0.073419078
APBB3	-4.243434167	0.178520459
APC	-1.296205	-0.906643221
APC2	-6.2777225	2.92235937
APCDD1	0.6354	-0.555326367
APCDD1L	-8.878625	-0.952434556
APEH	-2.7092825	0.625135075
APELA	3.4767525	0.550407027
APEX1	-1.38976	0.03231339
APEX2	4.24907	0.018315307
APH1A	-2.071576667	0.212816733
APH1B	-3.337116667	-0.820277573
API5	5.266741667	-0.705517965
APIP	0.349808333	-0.712169681
APLF	1.212883333	-0.126310249
APLN	-1.705783333	-1.060675812
APLNR	-2.3728	-0.230430457
APLP1	2.348824167	1.151182569
APLP2	-4.823358333	-0.534485208
APMAP	-1.852743333	-0.006748512
APOA1	5.008341667	-0.34068499
APOB	-16.76271667	-0.932801687
APOBEC2	-0.434935	0.908533751
APOBEC3B	-2.241358333	-0.578847201
APOBEC3C	-0.914733333	-0.258144529
APOBEC3D	4.623358333	-1.758879192
APOBEC3F	0.314291667	-0.082545612
APOBEC3G	0.48232	0.66783389
APOBEC4	-4.131716667	0.120387315
APOC1	-6.847208333	-0.165611952
APOE	-0.5641225	1.359758547
APOF	-0.837441667	-0.61048508
APOL1	-11.13645	0.186873837
APOL2	-20.29526667	-0.298255046
APOL4	-3.459658333	-0.660376399
APOL6	-17.81455	-0.496844684
APOLD1	-11.92514167	-0.087634062
APOO	9.791541667	-0.901467964
APOOL	5.496466667	-1.028407415
APP	-14.903625	-0.619111099
APPBP2	1.458875	-0.686880328
APPL1	4.1431	-1.224533257
APPL2	-12.57170833	0.020509333
APRT	-3.131358333	1.323021625
APTX	3.841086667	0.13771748
AQP1	1.849595	-0.284363808
AQP11	-1.076016667	-1.262924807
AQP3	-2.548633333	-1.006440568
AQP5	-4.4337225	1.722269963
AQP7	-11.44817417	0.327624077
AQR	0.02635	0.446196513
AR	4.004975	-0.085249521
ARAF	0.869918333	-0.659798322
ARAP1	0.665309167	-0.078449938
ARAP2	2.388233333	0.036856556
ARAP3	0.3742	-1.339209093
ARC	-9.986208333	0.633715112
