	gene	mean_diff	cv_FXS_zscore	cv_NL_zscore	NPC_BREACH
188	ACSL4	-7.985891667	0.01438322	-0.716740951	FALSE
189	ACSL5	5.077575	-0.680320925	0.081153304	FALSE
190	ACSL6	4.614733333	0.367497633	-0.80580002	FALSE
191	ACSM1	-3.870083333	0.357982649	-0.724905241	FALSE
192	ACSM2A	-9.840341667	-0.978385734	-0.301170739	FALSE
193	ACSM2B	-4.321941667	-0.880916816	1.037310762	FALSE
194	ACSM3	9.356633333	-0.963270019	-0.684662214	FALSE
195	ACSM4	-3.678975	-1.537521241	-0.537738146	FALSE
196	ACSM5	1.635641667	-0.796328788	-1.111067203	FALSE
197	ACSM6	-1.564591667	-0.273846731	-1.150988523	FALSE
198	ACSS1	4.6052	0.051031362	-0.19991188	FALSE
199	ACSS2	-0.849241667	0.173389288	-1.08551424	FALSE
200	ACSS3	4.2013125	1.289708588	0.73905823	FALSE
201	ACTA1	-11.487875	0.203494335	-0.168215433	FALSE
202	ACTA2	3.413529167	1.731222897	-0.787597762	FALSE
203	ACTB	-7.273541667	0.555351675	1.656141483	FALSE
204	ACTBL2	3.426383333	-0.361027008	0.116924967	FALSE
205	ACTC1	-0.226825	-1.138030606	1.041005842	FALSE
206	ACTG1	-7.1370225	1.572821223	1.793887439	FALSE
207	ACTG2	-0.468575	0.118591666	-0.025732613	FALSE
208	ACTL10	7.222538333	0.568035403	-0.498129519	FALSE
209	ACTL6A	3.49602	-0.570753512	0.12580638	FALSE
210	ACTL6B	-3.559025	0.068779053	1.344611951	FALSE
211	ACTL7A	3.286933333	-0.928081943	-0.678792507	FALSE
212	ACTL7B	0.319683333	0.39847128	-0.352743803	FALSE
213	ACTL8	-59.9615	-0.216555458	-0.21025842	FALSE
214	ACTL9	-86.28599167	-0.828368261	2.32044678	FALSE
215	ACTMAP	-0.771879167	0.086595983	-0.688880677	FALSE
216	ACTN1	3.540133333	-0.507922272	-0.270970207	FALSE
217	ACTN2	-5.707316667	-1.155632769	-1.274255663	FALSE
218	ACTN3	-3.6615	-0.678821358	-0.059694907	FALSE
219	ACTN4	-3.384158333	-1.39426298	-0.2668096	FALSE
220	ACTR10	-1.387110833	-0.559966645	-0.618690525	FALSE
221	ACTR1A	6.103378333	0.55876379	-0.984540409	FALSE
222	ACTR1B	2.274666667	0.770415487	0.381669541	FALSE
223	ACTR2	-9.767783333	-0.068530985	-0.376811451	FALSE
224	ACTR3	3.0242875	0.424499223	-0.574346014	FALSE
225	ACTR3B	0.454883333	-0.317914794	0.506827508	FALSE
226	ACTR3C	-9.047133333	-0.513070093	-1.136311121	FALSE
227	ACTR5	-0.294733333	0.308313195	-0.916995897	FALSE
228	ACTR6	-6.7522975	0.891551508	-0.10894434	FALSE
229	ACTR8	3.149938333	0.161161382	-1.018991177	FALSE
230	ACTRT1	-6.604966667	-0.968979148	-0.348760753	FALSE
231	ACTRT2	-82.42575833	-0.240658599	1.674090373	FALSE
232	ACTRT3	-6.924366667	-1.388453751	-0.45866984	FALSE
233	ACVR1	2.467858333	-1.439477746	0.508961646	FALSE
234	ACVR1B	-0.686941667	-1.212020619	0.211222267	FALSE
235	ACVR1C	2.8698	-0.120344811	-1.295834339	FALSE
236	ACVR2A	0.81225	-0.5792978	-0.813536654	FALSE
237	ACVR2B	2.843508333	1.005361874	-0.765294244	FALSE
238	ACVRL1	-4.107241667	-0.238089703	-0.690906982	FALSE
239	ACY1	-4.016563333	0.4316039	-1.23187995	FALSE
240	ACY3	-2.25205	-0.302977825	1.236617473	FALSE
241	ACYP1	3.2341	-0.479768084	-0.495288787	FALSE
242	ACYP2	32.6392	-1.091546439	1.310293017	FALSE
243	ADA	-0.727416667	-0.752842223	0.783744549	FALSE
244	ADA2	3.435691667	0.014424993	0.865007598	FALSE
245	ADAD1	-2.607283333	-0.741887463	-0.97663736	FALSE
246	ADAD2	-0.9158525	0.091914303	-0.927238444	FALSE
247	ADAL	7.160183333	-0.156449723	-0.278673965	FALSE
248	ADAM10	5.061185833	1.450492738	0.053219375	FALSE
249	ADAM11	0.285088333	0.35568786	-0.054256634	FALSE
250	ADAM12	-3.115316667	-1.129110575	-0.503293591	FALSE
251	ADAM15	-2.27999	0.785060659	0.866742785	FALSE
252	ADAM17	1.940903333	0.336600501	-0.002767492	FALSE
253	ADAM18	-9.021	-1.110381027	-0.505975814	FALSE
254	ADAM19	9.909341667	-0.91459644	-0.319536544	FALSE
255	ADAM2	1.253236667	0.865475913	1.105363803	FALSE
256	ADAM20	9.198158333	-1.256671749	-1.354195887	FALSE
257	ADAM21	15.87215	-0.122766199	-0.218275852	FALSE
258	ADAM22	1.258033333	-0.180403193	0.217357007	FALSE
259	ADAM23	-0.25248	0.261426916	-0.599523468	FALSE
260	ADAM28	-21.932675	-0.390721233	-0.948899662	FALSE
261	ADAM29	4.5066	0.684747326	-0.51958126	FALSE
262	ADAM30	5.276433333	-0.048746154	-0.015684305	FALSE
263	ADAM32	-17.34725833	-1.31823193	0.029116361	FALSE
264	ADAM33	-6.2187325	-0.456064554	1.01330957	FALSE
265	ADAM7	7.837508333	-0.769711792	0.389468502	FALSE
266	ADAM8	-1.774726667	1.656212108	1.765870566	FALSE
267	ADAM9	6.567658333	-1.773821453	-0.377738013	FALSE
268	ADAMDEC1	-23.43636667	-1.07480802	-0.732743398	FALSE
269	ADAMTS1	3.35405	-0.983613775	-0.243391745	FALSE
270	ADAMTS10	5.969475	-0.259840788	-0.571833357	FALSE
271	ADAMTS12	7.408341667	-0.194394031	-1.057910431	FALSE
272	ADAMTS13	-2.251158333	-0.313054517	-0.371660178	FALSE
273	ADAMTS14	-2.52515	0.183584696	0.097160596	FALSE
274	ADAMTS15	0.530445	1.17061064	0.192605353	FALSE
275	ADAMTS16	-14.026975	-0.621259755	-1.193922329	FALSE
276	ADAMTS17	-5.646975	-0.728147252	-0.751677718	FALSE
277	ADAMTS18	-7.785108333	-1.16157353	-1.001921714	FALSE
278	ADAMTS19	0.126806667	-0.242598657	1.333454716	FALSE
279	ADAMTS2	-55.06758333	-0.114174709	0.000839688	FALSE
280	ADAMTS20	-1.792741667	-0.396199213	-0.40935684	FALSE
281	ADAMTS3	6.257858333	-0.185576263	-0.610661784	FALSE
282	ADAMTS4	2.887	0.27955668	-0.364252209	FALSE
283	ADAMTS5	0.498783333	-0.368769845	1.740466769	FALSE
284	ADAMTS6	5.950775	0.20214699	-1.01985792	FALSE
285	ADAMTS7	-2.341098333	0.284670437	0.477261789	FALSE
286	ADAMTS8	4.941425	-1.1262294	-0.318978352	FALSE
287	ADAMTS9	5.985916667	-0.894884168	-1.097536373	FALSE
288	ADAMTSL1	13.92633333	-1.405740024	-0.779146886	FALSE
289	ADAMTSL2	-1.579314167	0.549165389	0.363556164	FALSE
290	ADAMTSL3	4.057741667	0.344501251	0.292736467	FALSE
291	ADAMTSL4	-1.345033333	0.416561803	0.613919169	FALSE
292	ADAMTSL5	-18.2678	2.152761528	0.537537856	FALSE
293	ADAP1	-7.776541667	0.399967535	1.046271754	FALSE
294	ADAP2	0.189928333	0.103029297	-0.446526074	FALSE
295	ADAR	5.630448333	-0.380577405	0.70814839	FALSE
296	ADARB1	2.176833333	-0.561326316	0.27254431	FALSE
297	ADARB2	-4.46395	-0.406027533	1.339780803	FALSE
298	ADAT1	-25.79809167	-0.6043972	-0.66250698	FALSE
299	ADAT2	10.065825	-0.143553744	-0.274643572	FALSE
300	ADAT3	-10.06656667	-0.31590822	0.891788242	FALSE
301	ADCK1	1.743783333	-1.092753451	1.279477938	FALSE
302	ADCK2	-6.878941667	-0.810833471	-0.346487159	FALSE
303	ADCK5	-0.383825	0.801428475	1.343274532	FALSE
304	ADCY1	2.120975	0.375295532	0.221945109	FALSE
305	ADCY10	-4.81725	-0.265020995	-0.399059062	FALSE
306	ADCY2	-5.258166667	-0.217308312	2.220170977	FALSE
307	ADCY3	-6.020975	0.693642685	0.017495739	FALSE
308	ADCY4	-3.538416667	-1.29438888	-0.092071933	FALSE
309	ADCY5	1.936059167	-0.327125078	-0.013544477	FALSE
310	ADCY6	-1.0315225	1.003458978	-1.197669896	FALSE
311	ADCY7	0.665930833	-0.291606808	-0.380570756	FALSE
312	ADCY8	3.18185	0.069658816	-0.648669435	FALSE
313	ADCY9	-4.726633333	-0.063100451	0.001121312	FALSE
314	ADCYAP1	-2.602745833	1.044352056	-1.145260947	FALSE
315	ADCYAP1R1	0.108616667	0.080468744	-1.354788793	FALSE
316	ADD1	-3.494416667	-0.99585924	-0.66283495	FALSE
317	ADD2	0.3209625	0.139914343	-0.983735748	FALSE
318	ADD3	5.200746667	-0.508829903	1.897105494	FALSE
319	ADGB	19.552975	-0.671269773	-0.662786889	FALSE
320	ADGRA1	2.734156667	1.110702482	1.336127822	FALSE
321	ADGRA2	-4.812908333	0.840301184	1.666974046	FALSE
322	ADGRA3	4.997125	-0.258409329	-1.45746957	FALSE
323	ADGRB1	-14.30559167	1.089020281	0.520265716	FALSE
324	ADGRB2	3.3889175	-0.72398679	-0.222817014	FALSE
325	ADGRB3	1.1564225	0.008895623	-0.138430047	FALSE
326	ADGRD1	5.61575	-0.890539409	0.420574078	FALSE
327	ADGRD2	-8.429416667	-0.22287489	0.773089536	FALSE
328	ADGRE1	-131.738	-0.713984754	-0.289065968	FALSE
329	ADGRE2	-95.308	-1.354936426	-0.324085453	FALSE
330	ADGRE3	-163.22525	-1.17016635	-0.53748621	FALSE
331	ADGRE5	-15.574185	0.732242953	0.285784836	FALSE
332	ADGRF1	7.575541667	-0.464265956	0.386504857	FALSE
333	ADGRF3	1.3559	-0.143752562	-1.160925059	FALSE
334	ADGRF4	7.773866667	0.692325466	-0.581505059	FALSE
335	ADGRF5	4.993108333	-0.007754426	0.114666891	FALSE
336	ADGRG1	-5.70114	2.322782372	0.711277179	FALSE
337	ADGRG2	2.673028333	0.570126826	-0.243438315	FALSE
338	ADGRG3	-9.0823	0.383309545	1.175086182	FALSE
339	ADGRG4	1.183666667	-0.560812836	-0.878114573	FALSE
340	ADGRG5	-9.925708333	-1.144656889	-0.689981972	FALSE
341	ADGRG6	-8.658416667	-0.795914234	-0.264473429	FALSE
342	ADGRG7	-0.169441667	-1.300366075	-1.239939209	FALSE
343	ADGRL1	-2.585469167	0.117898484	0.279004417	FALSE
344	ADGRL2	2.316625	1.235992972	0.900286401	FALSE
345	ADGRL3	4.612866667	-0.635456152	0.517787489	FALSE
346	ADGRL4	7.319766667	0.088341138	1.047059901	FALSE
347	ADGRV1	-13.6324	0.486839157	0.090121196	FALSE
348	ADH1A	-10.1760875	0.805446367	1.112062291	FALSE
349	ADH1B	5.70775	-0.117337204	-1.02855613	FALSE
350	ADH1C	4.105291667	0.587482625	-0.475214145	FALSE
351	ADH4	39.16533333	-0.808533651	-1.095939188	FALSE
352	ADH5	7.674200833	0.940904369	-0.817437736	FALSE
353	ADH6	2.0903	1.024074482	0.983763652	FALSE
354	ADH7	-3.105141667	-0.734221082	-1.016145331	FALSE
355	ADHFE1	-2.271876667	0.133085203	1.093882432	FALSE
356	ADI1	2.2485	-0.598088334	-0.030324444	FALSE
357	ADIG	5.811016667	-0.191559565	0.510417373	FALSE
358	ADIPOQ	-5.618589167	0.420704662	-0.707229887	FALSE
359	ADIPOR1	0.859345	0.480448502	0.316814866	FALSE
360	ADIPOR2	1.07055	-1.057506952	-1.20160248	FALSE
361	ADIRF	-1.904516667	-0.291635316	-0.83828761	FALSE
362	ADISSP	-5.41967	0.720124962	0.274618283	FALSE
363	ADK	-0.541755	1.334087193	-0.163785358	FALSE
364	ADM	4.8314	-0.203334093	0.255811633	FALSE
365	ADM2	-1.0838	1.140320685	1.631263527	FALSE
366	ADM5	1.058139167	0.507761214	-0.467263918	FALSE
367	ADNP	-5.596675	-0.284541385	-1.065701948	FALSE
368	ADNP2	-18.53379167	0.708066513	-0.920492859	FALSE
369	ADO	3.4675175	0.723438453	0.273185003	FALSE
370	ADORA1	0.201459167	1.613073108	-0.693771394	FALSE
371	ADORA2A	1.0226475	0.515219368	0.16877801	FALSE
372	ADORA2B	0.544783333	0.495808491	-0.273848723	FALSE
373	ADORA3	5.135208333	1.099615759	-0.001858688	FALSE
374	ADPGK	-0.309815833	1.797633189	-1.434109158	FALSE
375	ADPRH	-8.825866667	-1.566020152	-0.432099738	FALSE
376	ADPRHL1	0.608424167	0.63939108	0.290666107	FALSE
377	ADPRM	-2.723995	-0.692305322	-1.14994837	FALSE
378	ADPRS	3.2201675	-0.30146445	0.444070986	FALSE
379	ADRA1A	3.981358333	0.074428337	-0.384398439	FALSE
380	ADRA1B	1.389091667	0.158887274	1.561695168	FALSE
381	ADRA1D	-0.3517825	0.496939454	-0.287021983	FALSE
382	ADRA2A	-13.2053	0.414924417	0.747884511	FALSE
383	ADRA2B	-26.2527	1.349463089	-0.191253376	FALSE
384	ADRA2C	2.959323333	3.137148784	0.766249946	FALSE
385	ADRB1	-1.895375	0.436203314	-0.468041693	FALSE
386	ADRB2	-2.083040833	0.383776793	-0.282346992	FALSE
387	ADRB3	5.806508333	-0.524870672	-0.165860135	FALSE
388	ADRM1	-9.780864167	0.191366735	0.047842579	FALSE
389	ADSL	9.58694	-0.35020014	0.222376756	FALSE
390	ADSS1	-5.341695	1.678465823	0.913449779	FALSE
391	ADSS2	3.351425	0.153888318	-0.561165632	FALSE
392	ADTRP	-11.19983333	-0.827663559	-0.122665773	FALSE
393	AEBP1	-2.694761667	0.152884678	-0.151549744	FALSE
394	AEBP2	-7.910791667	-0.567785171	-0.004767206	FALSE
395	AEN	-0.820564167	1.679185039	0.284301736	FALSE
396	AFAP1	-3.606083333	-0.113881371	-0.593116705	FALSE
397	AFAP1L1	-0.657683333	-0.492578163	-0.208457815	FALSE
398	AFAP1L2	-13.48923333	-0.648186096	-1.246423515	FALSE
399	AFDN	3.99773	-0.026057335	-0.920905808	FALSE
400	AFF1	1.158843333	-0.175648108	-0.504634877	FALSE
401	AFF2	1.507643333	0.312558403	0.127373518	FALSE
402	AFF3	-6.009216667	0.265656541	-0.082924575	FALSE
403	AFF4	5.5336275	0.712502182	1.210795028	FALSE
404	AFG1L	-3.949875	-0.459080821	-0.824708826	FALSE
405	AFG2A	7.574721667	0.739618959	-1.038552365	FALSE
406	AFG2B	2.886025	0.604108605	-0.32619381	FALSE
407	AFG3L2	-5.401141667	-0.347874855	-0.724712846	FALSE
408	AFM	5.478208333	-0.093438427	0.025749807	FALSE
409	AFMID	-2.883491667	0.297535433	-0.64021017	FALSE
410	AFP	9.966483333	-1.286263159	-0.938322657	FALSE
411	AFTPH	4.331990833	0.158872521	-0.570837815	FALSE
412	AGA	2.62735	-0.562140227	1.14580066	FALSE
413	AGAP1	0.602916667	0.30258188	-0.373506178	FALSE
414	AGAP2	-5.746041667	0.965842953	0.634660767	FALSE
415	AGAP3	-2.088605833	-0.610593099	1.193456031	FALSE
416	AGAP4	-0.274942	2.405582621	0.680302422	FALSE
417	AGAP5	1.379135333	0.106234427	4.174160194	FALSE
418	AGAP6	-1.862809167	1.195809412	1.281240935	FALSE
419	AGAP9	0.538544667	3.794813421	2.898201183	FALSE
420	AGBL1	-0.95725	0.948528022	-0.394939268	FALSE
421	AGBL2	3.774641667	-0.234454776	0.045641907	FALSE
422	AGBL3	6.508363333	1.233562745	-0.132626879	FALSE
423	AGBL4	-0.946283333	-0.866991528	-0.501034261	FALSE
424	AGBL5	-1.809055833	0.987478303	-0.135983739	FALSE
425	AGER	-4.617453333	1.001756408	-0.147459505	FALSE
426	AGFG1	3.309675	-0.756843203	1.380010362	FALSE
