	gene	mean_diff	cv_FXS_zscore	cv_NL_zscore	BRAIN_BREACH
85	ABHD16B	0.137635	1.031071739	0.404686954	FALSE
86	ABHD17A	-3.6833145	0.440509145	2.496954827	FALSE
87	ABHD17B	53.746786	0.404046299	-0.457202062	FALSE
88	ABHD17C	15.659047	-0.825827683	-0.244394893	FALSE
89	ABHD18	50.06395	0.9503406	-0.542940335	FALSE
90	ABHD2	9.76276175	0.58338135	2.408274279	FALSE
91	ABHD3	34.511725	-0.032528841	-0.712696467	FALSE
92	ABHD4	30.322692	0.179349852	-0.276184367	FALSE
93	ABHD5	31.652352	-0.641738343	1.045150521	FALSE
94	ABHD6	30.718408	-0.315577207	-1.031927931	FALSE
95	ABHD8	3.663997	-1.510030928	0.480566581	FALSE
96	ABI1	36.361678	0.730677767	-0.481458173	FALSE
97	ABI2	36.997374	0.412620278	0.406812682	FALSE
98	ABI3	0.1132175	1.03079254	-0.309234002	FALSE
99	ABI3BP	93.71867	0.292572407	-0.636069048	FALSE
100	ABITRAM	31.2325505	0.2266797	1.278364718	FALSE
101	ABL1	2.2971265	1.911392574	1.203604978	FALSE
102	ABL2	39.149621	0.613436352	-0.188275023	FALSE
103	ABLIM1	75.480495	0.345797501	-0.577203058	FALSE
104	ABLIM2	8.519449	-0.126149315	0.210877625	FALSE
105	ABLIM3	41.534385	-1.241488819	-1.098425031	FALSE
106	ABR	13.384858	-0.656996821	-0.323658183	FALSE
107	ABRA	71.4077525	0.804676766	-0.434363521	FALSE
108	ABRACL	64.878704	0.354927579	-0.297709767	FALSE
109	ABRAXAS1	59.655899	0.214652151	0.968043256	FALSE
110	ABRAXAS2	19.298866	-0.563305338	0.429525023	FALSE
111	ABT1	32.7504236	-0.208911995	0.694205153	FALSE
112	ABTB1	4.3432055	0.092944469	-1.074230868	FALSE
113	ABTB2	9.4559905	0.746829068	0.911705442	FALSE
114	ABTB3	47.803265	-0.645653585	-1.137007735	FALSE
115	ACAA1	8.9310722	0.129611323	0.139719784	FALSE
116	ACAA2	61.667063	0.777648266	-0.000449154	FALSE
117	ACACA	9.8446504	-0.151988006	1.337693511	FALSE
118	ACACB	13.01163	-0.336222674	-1.196027927	FALSE
119	ACAD10	11.618448	-1.351827632	1.605137667	FALSE
120	ACAD11	52.46408	0.081965616	-0.378209979	FALSE
121	ACAD8	16.4315585	1.752188429	1.067617892	FALSE
122	ACAD9	15.858246	1.034836686	-0.096210662	FALSE
123	ACADL	33.831675	-1.646712344	-0.766261004	FALSE
124	ACADM	49.070802	0.758617365	0.390071764	FALSE
125	ACADS	2.07799	-0.239184782	0.108950128	FALSE
126	ACADSB	10.213258	0.720798657	-0.131799856	FALSE
127	ACADVL	-2.785141	0.590320062	0.21016705	FALSE
128	ACAN	9.393155	-1.707044555	-1.060706738	FALSE
129	ACAP1	2.480766	-1.473523283	-0.670452452	FALSE
130	ACAP2	28.729317	0.683452147	0.463563412	FALSE
131	ACAP3	-3.37781975	3.348816228	0.329562604	FALSE
132	ACAT1	20.195386	0.07767908	0.543694223	FALSE
133	ACAT2	11.1160975	0.2428123	0.119610266	FALSE
134	ACBD3	30.08704	1.282528587	-0.015213049	FALSE
135	ACBD4	-1.8500126	0.841933662	2.01199989	FALSE
136	ACBD5	37.8125575	0.138257513	0.854237845	FALSE
137	ACBD6	12.70378	-0.892530777	-0.22169749	FALSE
138	ACBD7	51.972655	-0.323527837	-0.40195887	FALSE
139	ACCS	21.7139135	1.280248292	0.095024077	TRUE
140	ACCSL	27.559615	-0.317031071	-0.811525289	TRUE
141	ACD	2.0970285	1.674917799	1.146882639	FALSE
142	ACE	-0.9463145	0.85396772	-0.273780322	FALSE
143	ACE2	48.578915	0.95313629	-0.694977516	FALSE
144	ACER1	-20.18532	-1.242112597	-0.894697364	FALSE
145	ACER2	34.477985	-0.323649551	-0.862881674	FALSE
146	ACER3	19.26189	0.098775779	-0.658066244	FALSE
147	ACHE	2.1322295	-0.012545899	0.12560737	FALSE
148	ACIN1	7.7916805	0.424229505	0.004346776	FALSE
149	ACKR1	48.419814	0.189216934	1.487912279	FALSE
150	ACKR2	50.5425275	1.098406672	-1.019130188	FALSE
151	ACKR3	18.236135	-0.570376445	-1.095396101	FALSE
152	ACKR4	43.48769	0.334653946	-0.600672956	FALSE
153	ACLY	0.346135	0.560851559	0.874389461	FALSE
154	ACMSD	29.949775	-0.567698579	-0.852375333	FALSE
155	ACO1	67.99312	-0.090444504	-0.996807481	FALSE
156	ACO2	6.864232	0.952946605	0.619609221	FALSE
157	ACOD1	38.73578	-0.756132262	-1.328180692	FALSE
158	ACOT1	1.3074175	0.546670974	-0.313907709	FALSE
159	ACOT11	-7.25206	-1.587935329	-0.907181293	FALSE
160	ACOT12	59.069095	-0.397294078	-0.744936715	TRUE
161	ACOT13	-6.578805	-1.373104513	-0.914493321	FALSE
162	ACOT2	-1.73692	-0.186003111	-0.26271708	FALSE
163	ACOT4	17.196747	-0.296102555	0.681412009	FALSE
164	ACOT6	12.2039945	0.230566221	-0.128855362	FALSE
165	ACOT7	10.3634144	-0.117852012	1.275526123	FALSE
166	ACOT8	1.536304	0.119866984	-1.030752388	FALSE
167	ACOT9	21.69015	-1.543119637	-0.716301238	FALSE
168	ACOX1	13.178308	1.642530196	0.300855839	FALSE
169	ACOX2	27.379117	0.920045927	0.564634738	FALSE
170	ACOX3	28.710179	-1.773200446	1.071584338	FALSE
171	ACOXL	43.08745	-1.987629554	-1.148352513	FALSE
172	ACP1	30.9766285	0.391068853	-0.161068132	FALSE
173	ACP2	1.8894963	0.583369872	1.198551468	FALSE
174	ACP3	58.049895	0.051702361	-0.713995181	FALSE
175	ACP4	1.9135875	0.697045959	-0.224690509	FALSE
176	ACP5	13.339294	-0.595766085	-0.561885661	FALSE
177	ACP6	18.35672	-0.207666317	-0.368258312	FALSE
178	ACP7	12.29743	0.136000717	-0.647938132	FALSE
179	ACR	10.888115	-0.113595449	-1.608655072	FALSE
180	ACRBP	-3.22032	-0.404608862	0.584850377	FALSE
181	ACRV1	34.243265	-0.582270928	-0.235853447	FALSE
182	ACSBG1	14.5399048	-0.370831077	1.252986209	FALSE
183	ACSBG2	-3.271115	0.225799675	-0.500380364	FALSE
184	ACSF2	23.11939	0.319229252	-0.566017192	FALSE
185	ACSF3	6.719599	-1.037521871	0.144629171	FALSE
186	ACSL1	37.108555	-0.987899862	-0.570439566	FALSE
187	ACSL3	22.0951615	0.207728948	0.5983923	FALSE
188	ACSL4	-2.16215	-1.886077833	-1.345531262	FALSE
189	ACSL5	58.313105	-0.08925675	-0.881444443	FALSE
190	ACSL6	49.694426	0.096161646	-0.301820247	FALSE
191	ACSM1	4.461335	-1.500541931	-0.41597228	FALSE
192	ACSM2A	-56.9774	-1.821333079	-1.078104519	FALSE
193	ACSM2B	-26.54299	-0.985162926	-0.909748168	FALSE
194	ACSM3	-5.64791	-1.712509163	-0.982210198	FALSE
195	ACSM4	57.259165	-1.012088852	-1.050881665	FALSE
196	ACSM5	-43.543225	-1.253674721	-1.332888681	FALSE
197	ACSM6	16.3846	-1.455821352	-1.402037306	FALSE
198	ACSS1	27.305546	0.544146436	-0.171871696	FALSE
199	ACSS2	14.3909694	-0.376679456	0.621490385	FALSE
200	ACSS3	69.8487	-0.261468421	-0.920963794	FALSE
201	ACTA1	20.420665	-1.249375434	0.182885101	FALSE
202	ACTA2	44.002025	0.61025183	-0.469131254	FALSE
203	ACTB	1.65041725	1.497478665	1.516209176	FALSE
204	ACTBL2	40.90779	-0.122457706	-0.731172359	FALSE
205	ACTC1	26.143025	-0.453256772	-0.624760211	FALSE
206	ACTG1	-7.78212	1.487672461	0.789366984	FALSE
207	ACTG2	27.45091	-0.628329681	-0.194052731	FALSE
208	ACTL10	4.3401355	-1.047896972	1.62160997	FALSE
209	ACTL6A	42.146835	0.525918624	-0.150721248	FALSE
210	ACTL6B	1.8190025	1.242797673	0.264220597	FALSE
211	ACTL7A	57.77322	-0.449459619	-1.020727517	FALSE
212	ACTL7B	34.153305	-0.309549927	-1.146391583	FALSE
213	ACTL8	-42.15455	-1.087534925	-1.481322759	FALSE
214	ACTL9	-6.387855	0.451926073	-0.394526087	FALSE
215	ACTMAP	-1.495858	1.864971805	0.986322271	FALSE
216	ACTN1	12.462025	0.511417182	-0.548283912	FALSE
217	ACTN2	49.190435	0.226993625	0.441408473	FALSE
218	ACTN3	-13.945575	1.031236577	-0.061280027	FALSE
219	ACTN4	2.6950128	-0.485949903	1.114653776	FALSE
220	ACTR10	35.0347014	1.342997382	1.301065372	FALSE
221	ACTR1A	11.793209	0.472104651	0.04428012	FALSE
222	ACTR1B	-2.5896305	-0.697557902	1.171056942	FALSE
223	ACTR2	57.198427	1.047226644	-0.465889556	FALSE
224	ACTR3	40.7756645	0.516863292	1.174238952	FALSE
225	ACTR3B	13.3465435	0.702156261	-0.074717811	FALSE
226	ACTR3C	5.423265	-1.170379971	-1.041696293	FALSE
227	ACTR5	23.704898	1.496536917	2.902482359	FALSE
228	ACTR6	39.531736	-0.218892216	0.36863956	FALSE
229	ACTR8	22.545186	0.782465994	0.284669217	FALSE
230	ACTRT1	48.047	-1.579249209	-1.702318409	FALSE
231	ACTRT2	-30.14778	-0.811364685	-0.793014279	FALSE
232	ACTRT3	25.42112	-0.810775252	-0.068010937	FALSE
233	ACVR1	78.64532	-0.613202941	-0.643390111	FALSE
234	ACVR1B	-0.781402	-0.800729255	0.490873975	FALSE
235	ACVR1C	47.632625	0.400477366	0.914153451	FALSE
236	ACVR2A	53.5605275	0.476393163	-0.775089997	FALSE
237	ACVR2B	17.69478	-0.734509622	-0.544908513	FALSE
238	ACVRL1	20.323825	-0.753754928	-0.688055436	FALSE
239	ACY1	2.9861495	1.246799597	-0.42041478	FALSE
240	ACY3	1.300048	-0.657699149	-0.194784763	FALSE
241	ACYP1	9.84471	-0.727254731	0.643418859	FALSE
242	ACYP2	18.80765	-1.249836641	-0.743648297	FALSE
243	ADA	10.14173	-0.218504546	-0.703050277	FALSE
244	ADA2	29.94339	-1.243958609	-0.842349142	FALSE
245	ADAD1	64.3683	-1.907391802	-1.375302516	FALSE
246	ADAD2	8.310934	-0.960506023	-0.305580898	FALSE
247	ADAL	14.670483	0.095903755	2.157919777	FALSE
248	ADAM10	21.557205	0.255838374	0.247675723	FALSE
249	ADAM11	-0.8023745	-0.19029533	-0.001453908	FALSE
250	ADAM12	26.22036	-0.937039469	-0.802901383	FALSE
251	ADAM15	0.7212459	0.070087514	1.067694033	FALSE
252	ADAM17	28.5255639	1.454727593	1.858773976	FALSE
253	ADAM18	-11.59845	-1.856181791	-1.068613142	FALSE
254	ADAM19	7.216065	-0.567367617	-1.42436239	FALSE
255	ADAM2	54.48987	0.59031719	-0.496064771	FALSE
256	ADAM20	23.97988	-1.835254786	-1.00226336	FALSE
257	ADAM21	57.776895	-0.105614082	-1.001580577	FALSE
258	ADAM22	50.121915	0.349353661	1.159130391	FALSE
259	ADAM23	32.87591	0.459434648	-0.33780778	FALSE
260	ADAM28	20.0506	-0.682466416	-1.161418739	FALSE
261	ADAM29	79.53885	-0.899845314	-0.648788742	FALSE
262	ADAM30	19.017475	-0.293580809	-1.247144366	FALSE
263	ADAM32	29.75085	-1.273175062	-1.234054946	FALSE
264	ADAM33	3.66651	-0.366497826	-0.748558087	FALSE
265	ADAM7	27.54795	-1.471424625	-1.042725189	FALSE
266	ADAM8	1.1518095	2.356420956	2.156927972	FALSE
267	ADAM9	32.194929	0.613075606	1.062955913	FALSE
268	ADAMDEC1	-8.863275	-0.375906864	-0.935452075	FALSE
269	ADAMTS1	46.934015	-0.304993182	-0.425292461	FALSE
270	ADAMTS10	-1.7107545	1.822639156	-0.187096714	FALSE
271	ADAMTS12	65.43975	0.060228558	-0.891392444	FALSE
272	ADAMTS13	-9.57851425	0.798642597	-0.236194022	FALSE
273	ADAMTS14	10.7010275	0.304980417	-0.007201245	FALSE
274	ADAMTS15	13.246085	-0.848001101	-0.898836587	FALSE
275	ADAMTS16	33.77714	-1.234289479	-0.758781009	FALSE
276	ADAMTS17	22.142625	0.465901237	-0.566351167	FALSE
277	ADAMTS18	27.52815	-1.164091129	-0.094556609	FALSE
278	ADAMTS19	53.825175	0.395505174	0.220170694	FALSE
279	ADAMTS2	-63.1973	-1.376618909	-1.323322458	FALSE
280	ADAMTS20	99.35716	-0.45957578	-0.474698495	FALSE
281	ADAMTS3	88.08131	-0.115781459	0.01540686	FALSE
282	ADAMTS4	20.5961445	1.002178317	1.523097914	FALSE
283	ADAMTS5	70.90517	-0.512856554	-1.0035076	FALSE
284	ADAMTS6	90.128605	-0.144748398	-0.623940261	FALSE
285	ADAMTS7	8.857799	-0.051144036	0.805671051	FALSE
286	ADAMTS8	2.227463	0.232974945	1.369278836	FALSE
287	ADAMTS9	2.38835	-1.36884691	-1.190011508	FALSE
288	ADAMTSL1	66.66448	-0.175898879	0.021504082	FALSE
289	ADAMTSL2	2.0905	1.260175975	0.222546366	FALSE
290	ADAMTSL3	-37.3128	-1.990413539	-1.298412933	FALSE
291	ADAMTSL4	1.4272491	0.999911697	2.099204235	FALSE
292	ADAMTSL5	-13.249765	0.770146366	-0.644288172	FALSE
293	ADAP1	1.746623	-0.875813772	-0.705847307	FALSE
294	ADAP2	4.678755	-0.45489721	-1.212234029	FALSE
295	ADAR	3.3498295	-0.470391621	-0.10414285	FALSE
296	ADARB1	7.3562215	0.67792019	0.091619542	FALSE
297	ADARB2	21.551178	-1.110758268	0.631916956	FALSE
298	ADAT1	21.71094	-1.212630849	0.071174171	FALSE
299	ADAT2	70.955413	1.082944275	0.457829723	FALSE
300	ADAT3	3.535958	-0.327254326	-0.92287714	FALSE
301	ADCK1	16.3461755	0.758468722	0.052587196	FALSE
302	ADCK2	18.615992	-0.147501892	0.167464696	FALSE
303	ADCK5	-2.3256324	0.073313664	2.022401944	FALSE
304	ADCY1	43.050205	-0.330835478	-0.074403775	FALSE
305	ADCY10	11.30615	-2.284583297	-1.213267551	TRUE
306	ADCY2	22.762435	-0.579541884	-1.019701142	FALSE
307	ADCY3	11.4639015	0.081645691	1.159117513	FALSE
308	ADCY4	13.883845	-0.517390946	-0.889009881	FALSE
309	ADCY5	19.01566265	1.463201775	1.173050963	FALSE
310	ADCY6	16.617395	0.410521853	-0.436338197	FALSE
311	ADCY7	14.575105	-0.55732678	-0.736165315	FALSE
312	ADCY8	43.699175	-0.528929512	-1.603285611	FALSE
313	ADCY9	6.943754	-0.277097172	-1.105999936	FALSE
314	ADCYAP1	54.09972	-0.861266206	-1.127489577	FALSE
315	ADCYAP1R1	27.42345	-0.472147823	-1.013982115	FALSE
316	ADD1	16.493596	0.134685106	0.801171206	FALSE
317	ADD2	25.234662	0.270958793	-0.7480451	FALSE
318	ADD3	24.4883985	0.972331925	0.983424397	FALSE
319	ADGB	11.8939	-1.186796051	-1.20346326	FALSE
320	ADGRA1	-3.216865	-0.941977436	-0.361218334	FALSE
321	ADGRA2	19.858715	-0.426813701	-0.52095653	FALSE
322	ADGRA3	54.74422	0.366529725	-0.964605673	FALSE
323	ADGRB1	-7.356146	0.947882854	1.905740466	FALSE
324	ADGRB2	2.594783	-0.96312261	1.456614554	FALSE
325	ADGRB3	22.0416745	1.4070595	2.63709753	FALSE
326	ADGRD1	7.45088	-1.143994057	-0.837395797	FALSE
327	ADGRD2	-6.143975	-1.388214175	-0.83163828	FALSE
328	ADGRE1	-91.6824	-1.939176308	-1.344489881	FALSE
329	ADGRE2	-29.51541	-1.899402148	-0.979398448	FALSE
330	ADGRE3	-34.95475	-1.872085642	-1.233972435	FALSE
331	ADGRE5	-0.155851	0.874982491	-0.373508125	FALSE
332	ADGRF1	73.08666	0.054200166	-0.921705368	FALSE
333	ADGRF3	1.83044	-1.680091289	-0.459202589	FALSE
334	ADGRF4	88.438205	-0.357213384	-1.108429122	FALSE
335	ADGRF5	60.7734	-0.775210859	-1.038075406	FALSE
336	ADGRG1	3.1425502	3.021488441	0.625288926	FALSE
337	ADGRG2	36.088087	-0.462930351	0.077119364	FALSE
338	ADGRG3	10.831054	-0.679686921	-0.376418312	FALSE
339	ADGRG4	21.01255	-1.864069977	-1.28203075	FALSE
340	ADGRG5	1.59043	-0.97194786	-0.834632033	FALSE
341	ADGRG6	21.238455	-0.205862424	-0.558125062	FALSE
342	ADGRG7	66.5659	-1.280330159	-1.381244769	FALSE
343	ADGRL1	0.856755	0.894007312	1.266349052	FALSE
344	ADGRL2	60.775345	-0.10116307	-0.543361328	FALSE
345	ADGRL3	44.27325	-1.014185533	0.068254715	FALSE
346	ADGRL4	72.261215	-0.039978935	-0.507124124	FALSE
347	ADGRV1	52.31314	-0.46463361	0.154560875	FALSE
348	ADH1A	39.74855	-1.242772317	-1.141601478	FALSE
349	ADH1B	68.3801	-1.520934243	-0.61226472	FALSE
350	ADH1C	86.90702	0.131374581	-0.888042625	FALSE
351	ADH4	27.107995	-0.29653915	-0.955408129	FALSE
352	ADH5	62.417185	0.881319741	-0.104566824	FALSE
353	ADH6	95.062425	0.095352582	-1.085504513	FALSE
354	ADH7	62.0848	-0.752889617	-0.909089257	FALSE
355	ADHFE1	35.7565235	1.137983877	2.285628055	FALSE
356	ADI1	24.4144985	0.274535663	-0.837173209	FALSE
357	ADIG	9.539545	0.168597523	0.167707252	FALSE
358	ADIPOQ	41.904035	0.158017469	-0.932350523	FALSE
359	ADIPOR1	21.521476	0.913711408	0.251843234	FALSE
360	ADIPOR2	8.657795	-0.425102826	-0.110434065	FALSE
361	ADIRF	30.804852	0.467516122	-0.333090711	FALSE
362	ADISSP	4.8862875	1.875110114	1.610606419	FALSE
363	ADK	20.697531	0.1140567	0.043808372	FALSE
364	ADM	15.447835	-1.003421277	-0.194008727	FALSE
365	ADM2	-0.6327125	-0.550950369	-1.219654845	FALSE
366	ADM5	-0.230384	0.747988273	1.598625167	FALSE
367	ADNP	22.885465	0.720260245	-0.748451084	FALSE
368	ADNP2	24.917874	-0.196561241	0.738454535	FALSE
369	ADO	35.49299125	1.153172546	1.134713882	FALSE
370	ADORA1	3.258424	0.719547967	2.217282927	FALSE
371	ADORA2A	-8.8129165	-1.081439316	0.302055539	FALSE
372	ADORA2B	8.546035	-1.200729433	-0.334510189	FALSE
373	ADORA3	26.622012	1.215399423	0.421870434	FALSE
374	ADPGK	24.5689956	-0.130871015	1.230076277	FALSE
375	ADPRH	33.443495	0.106377766	-1.121138328	FALSE
376	ADPRHL1	4.194905	0.171054054	0.102205932	FALSE
377	ADPRM	27.549606	-0.985177635	0.109103509	FALSE
378	ADPRS	3.008189	0.270433498	0.627211588	FALSE
379	ADRA1A	4.210575	-0.876102623	-1.121705864	FALSE
380	ADRA1B	49.64533	-0.684565553	-0.783375936	FALSE
381	ADRA1D	24.604355	-1.012966123	-1.182254741	FALSE
382	ADRA2A	32.072565	0.165998047	-0.707598027	FALSE
383	ADRA2B	4.90879	0.072285588	-0.860730635	FALSE
384	ADRA2C	10.060712	0.394459061	-0.291136441	FALSE
385	ADRB1	23.04621	0.051603334	0.048965274	FALSE
386	ADRB2	42.053065	0.508777049	-0.84204508	FALSE
387	ADRB3	39.28173	-0.097016026	-1.335914924	FALSE
388	ADRM1	-1.712919	-0.612138758	-0.655930611	FALSE
389	ADSL	5.3766145	0.561306347	1.538441071	FALSE
390	ADSS1	-1.435845	0.939522631	-0.544873616	FALSE
391	ADSS2	33.249275	0.246566075	-0.257921709	FALSE
392	ADTRP	34.117485	-0.226749176	-1.358297775	FALSE
393	AEBP1	-4.9540455	0.759539747	-0.036618503	FALSE
394	AEBP2	38.449195	0.499411291	0.888266054	FALSE
395	AEN	20.709232	0.452655877	0.061564536	FALSE
396	AFAP1	5.581283	2.365823147	-0.047764147	FALSE
397	AFAP1L1	9.30354	-0.331361572	-0.728852572	FALSE
398	AFAP1L2	-2.9981	-1.850069994	-1.050664562	FALSE
399	AFDN	10.0807625	0.498576833	0.611998208	FALSE
400	AFF1	42.804211	0.841405164	0.513310492	FALSE
401	AFF2	40.755615	-0.26098241	-0.989344217	FALSE
402	AFF3	33.67481	-0.083845531	-0.674553387	FALSE
403	AFF4	33.195337	1.882990011	2.280106676	FALSE
404	AFG1L	26.73972	0.000596487	-0.791338572	FALSE
405	AFG2A	50.2067075	1.224575176	-0.28029169	FALSE
406	AFG2B	26.0914303	0.707363717	1.042645941	FALSE
407	AFG3L2	31.280592	0.210796409	0.041995912	FALSE
408	AFM	76.156185	0.284719161	-1.076882484	FALSE
409	AFMID	1.220784	0.020733047	1.562883458	FALSE
410	AFP	109.692695	0.875677916	-0.760750926	FALSE
411	AFTPH	27.755764	0.867290262	-0.19732607	FALSE
412	AGA	69.7574265	0.45466317	0.151279285	FALSE
413	AGAP1	-7.444834	0.390002849	0.586177272	FALSE
414	AGAP2	3.750592	0.01442264	0.953180264	FALSE
415	AGAP3	-0.9089269	1.117175648	1.54693678	FALSE
416	AGAP4	29.8377925	1.194533479	-0.840797967	FALSE
417	AGAP5	26.184879	0.633307249	0.281045553	FALSE
418	AGAP6	37.356035	0.843737254	-0.755714437	FALSE
419	AGAP9	24.502699	0.170196665	0.392698419	FALSE
420	AGBL1	40.18219	0.046787683	-1.014138011	FALSE
421	AGBL2	25.919328	-0.298663042	0.15822945	FALSE
422	AGBL3	54.9588595	0.438088967	0.195102056	FALSE
423	AGBL4	31.80487	-0.780932033	-0.613024441	FALSE
424	AGBL5	5.6646435	-0.744692923	0.389959769	FALSE
425	AGER	3.8237395	-0.15815436	1.454847369	FALSE
426	AGFG1	41.5712165	1.054584255	-0.270659136	FALSE
427	AGFG2	2.4016545	0.07036773	1.484297872	FALSE
428	AGGF1	26.918652	0.870981389	1.451793126	FALSE
429	AGK	11.039655	-0.913693275	-0.800516631	FALSE
430	AGL	48.483878	0.836721992	-0.189116944	FALSE
431	AGMAT	2.7489702	1.702173534	0.700707409	FALSE
432	AGMO	71.909355	0.465736865	-0.284898412	FALSE
433	AGO1	3.6436336	-0.858338697	4.170892771	FALSE
434	AGO2	14.2041422	0.697812582	1.528811255	TRUE
435	AGO3	10.13698744	2.700108891	2.022965167	FALSE
436	AGO4	9.4316565	1.24974377	-0.922824507	FALSE
437	AGPAT1	6.9832628	2.861190235	2.807802352	FALSE
438	AGPAT2	-2.225839	1.999151977	-0.393020435	FALSE
439	AGPAT3	-13.4035075	-0.009193057	0.052485939	FALSE
