gene	cv_FXS_zscore	NPC_BREACH	Pearson_rho_wFMRP	q_value_wFMRP	q_value_wFMRP_neglog10	
ABI2	-0.493509361	FALSE	0.501714215	0.084986596	1.070649567	
ABI3	0.564362209	FALSE	0.467400235	0.084986596	1.070649567	
ABITRAM	1.69492532	FALSE	0.513861471	0.084986596	1.070649567	
ABL1	-0.185590444	FALSE	0.467456884	0.084986596	1.070649567	
ABL2	0.224332016	FALSE	0.522989923	0.081704945	1.08775166	
ABLIM1	-0.149612346	FALSE	0.470117802	0.084986596	1.070649567	
ABLIM2	-0.264025189	FALSE	0.466265196	0.084986596	1.070649567	
ABLIM3	-0.367648678	FALSE	0.475435083	0.084986596	1.070649567	
ABR	0.078651685	FALSE	0.478572152	0.084986596	1.070649567	
ABRACL	-0.980724677	FALSE	0.595762052	0.032136478	1.493001723	
ABRAXAS1	-0.358169902	FALSE	0.477012058	0.084986596	1.070649567	
ABRAXAS2	-0.461217077	FALSE	0.488245242	0.084986596	1.070649567	
ABT1	0.671552677	FALSE	0.466278801	0.084986596	1.070649567	
ABTB1	1.052947021	FALSE	0.505732318	0.084986596	1.070649567	
ABTB2	-0.224584118	FALSE	0.493594827	0.084986596	1.070649567	
ACAA1	-0.591457876	FALSE	0.475144926	0.084986596	1.070649567	
ACAA2	-0.30270108	FALSE	0.492472591	0.084986596	1.070649567	
ACACA	0.423388569	FALSE	0.466546486	0.084986596	1.070649567	
ACACB	-1.476876693	FALSE	0.498310661	0.084986596	1.070649567	
ACAD10	0.2281006	FALSE	0.509401351	0.084986596	1.070649567	
ACAD11	-1.234759019	FALSE	0.467030172	0.084986596	1.070649567	
ACAD8	1.775177368	FALSE	0.553603458	0.059203909	1.227649614	
ACAD9	0.29494359	FALSE	0.559029715	0.054702426	1.261993413	
ACADM	-0.455981564	FALSE	0.48291819	0.084986596	1.070649567	
ACADS	-0.63598288	FALSE	0.479007552	0.084986596	1.070649567	
ACADSB	-0.264934283	FALSE	0.485133859	0.084986596	1.070649567	
ACADVL	0.810455763	FALSE	0.475450079	0.084986596	1.070649567	
ACAP1	-0.095836511	FALSE	0.491105127	0.084986596	1.070649567	
ACAP2	0.303951307	FALSE	0.466523215	0.084986596	1.070649567	
ACAP3	2.830217875	FALSE	0.502173548	0.084986596	1.070649567	
ACAT1	-0.761956862	FALSE	0.675706243	0.006330055	2.198592525	
ACAT2	0.125652353	FALSE	0.660177418	0.009445011	2.024797522	
ACBD3	-1.165985452	FALSE	0.500703172	0.084986596	1.070649567	
ACBD4	-0.590854688	FALSE	0.484524111	0.084986596	1.070649567	
ACBD5	-0.298241473	FALSE	0.506210356	0.084986596	1.070649567	
ACBD6	-0.060210245	FALSE	0.550397268	0.061560565	1.210697402	
ACBD7	-1.213919147	FALSE	0.466458233	0.084986596	1.070649567	
ACCS	-1.223041964	FALSE	0.468128501	0.084986596	1.070649567	
ACCSL	-0.04838476	FALSE	0.466312713	0.084986596	1.070649567	
ACD	0.179084515	FALSE	0.504043866	0.084986596	1.070649567	
ACE	0.770391814	FALSE	0.472758749	0.084986596	1.070649567	
ACER1	0.242217339	FALSE	0.545222439	0.065612496	1.183013443	
ACER2	-1.34740732	FALSE	0.466259389	0.084986596	1.070649567	
ACER3	0.271450325	FALSE	0.474033276	0.084986596	1.070649567	
ACIN1	0.815648723	FALSE	0.478400233	0.084986596	1.070649567	
ACKR1	-0.655339201	FALSE	0.469691986	0.084986596	1.070649567	
ACKR2	0.560805848	FALSE	0.479882238	0.084986596	1.070649567	
ACKR3	-0.188563942	FALSE	0.46625864	0.084986596	1.070649567	
ACKR4	-0.737050365	FALSE	0.490867222	0.084986596	1.070649567	
ACLY	-0.135799132	FALSE	0.591516783	0.034441376	1.462919504	
ACO1	-1.223635501	FALSE	0.572558901	0.045280652	1.344087327	
ACO2	-0.403694334	FALSE	0.4737548	0.084986596	1.070649567	
ACOT1	-1.451319837	FALSE	0.527194741	0.078447464	1.10542109	
ACOT11	-1.090585624	FALSE	0.519354486	0.084676308	1.072238086	
ACOT12	-1.192704249	FALSE	0.649937074	0.011794454	1.928322149	
ACOT13	-0.668348416	FALSE	0.466366031	0.084986596	1.070649567	
ACOT2	-1.225882308	FALSE	0.472540332	0.084986596	1.070649567	
ACOT4	0.761576415	FALSE	0.486581768	0.084986596	1.070649567	
ACOT7	0.734335865	FALSE	0.523435171	0.081240708	1.0902263	
ACOT8	0.019232683	FALSE	0.621700078	0.020381807	1.690757306	
ACOT9	-0.724487717	FALSE	0.507660935	0.084986596	1.070649567	
ACOX1	0.081344658	FALSE	0.486827952	0.084986596	1.070649567	
ACOX2	-0.326829288	FALSE	0.633632422	0.016293933	1.787974068	
ACOX3	-0.534945941	FALSE	0.482435792	0.084986596	1.070649567	
ACOXL	-1.22162361	FALSE	0.467814518	0.084986596	1.070649567	
ACP1	-0.352180349	FALSE	0.513329435	0.084986596	1.070649567	
ACP2	0.248538706	FALSE	0.466473836	0.084986596	1.070649567	
ACP3	0.861560517	FALSE	0.472646997	0.084986596	1.070649567	
ACP5	-0.685042009	FALSE	0.486363833	0.084986596	1.070649567	
ACP6	0.590454324	FALSE	0.488280003	0.084986596	1.070649567	
ACRBP	0.027170325	FALSE	0.485919334	0.084986596	1.070649567	
ACSBG1	-0.038885064	FALSE	0.466813804	0.084986596	1.070649567	
ACSBG2	-0.455482553	FALSE	0.487091451	0.084986596	1.070649567	
ACSF2	0.304145632	FALSE	0.469377379	0.084986596	1.070649567	
ACSF3	-0.501133753	FALSE	0.488257334	0.084986596	1.070649567	
ACSL1	0.180451079	FALSE	0.51247496	0.084986596	1.070649567	
ACSL3	-0.241209435	FALSE	0.516955308	0.084986596	1.070649567	
ACSL4	0.01438322	FALSE	0.503122335	0.084986596	1.070649567	
ACSL5	-0.680320925	FALSE	0.483353375	0.084986596	1.070649567	
ACSL6	0.367497633	FALSE	0.609948243	0.025069342	1.600857071	
ACSM1	0.357982649	FALSE	0.476916181	0.084986596	1.070649567	
ACSM3	-0.963270019	FALSE	0.488408941	0.084986596	1.070649567	
ACSM5	-0.796328788	FALSE	0.466840621	0.084986596	1.070649567	
ACSS1	0.051031362	FALSE	0.466520578	0.084986596	1.070649567	
ACSS2	0.173389288	FALSE	0.46842241	0.084986596	1.070649567	
ACSS3	1.289708588	FALSE	0.493701454	0.084986596	1.070649567	
ACTA1	0.203494335	FALSE	0.475690419	0.084986596	1.070649567	
ACTA2	1.731222897	FALSE	0.474740054	0.084986596	1.070649567	
ACTB	0.555351675	FALSE	0.566849079	0.049172466	1.308278015	
ACTG1	1.572821223	FALSE	0.469444627	0.084986596	1.070649567	
ACTL10	0.568035403	FALSE	0.518514621	0.084986596	1.070649567	
ACTL6A	-0.570753512	FALSE	0.512346255	0.084986596	1.070649567	
ACTN1	-0.507922272	FALSE	0.477325683	0.084986596	1.070649567	
ACTN3	-0.678821358	FALSE	0.537191786	0.070532768	1.151609072	
ACTN4	-1.39426298	FALSE	0.54241282	0.067751423	1.169081576	
ACTR10	-0.559966645	FALSE	0.479442099	0.084986596	1.070649567	
ACTR1A	0.55876379	FALSE	0.472449461	0.084986596	1.070649567	
ACTR1B	0.770415487	FALSE	0.466357717	0.084986596	1.070649567	
ACTR2	-0.068530985	FALSE	0.467507939	0.084986596	1.070649567	
ACTR3	0.424499223	FALSE	0.47430832	0.084986596	1.070649567	
ACTR3B	-0.317914794	FALSE	0.478614514	0.084986596	1.070649567	
ACTR3C	-0.513070093	FALSE	0.655728436	0.010440235	1.98128974	
ACTR5	0.308313195	FALSE	0.500413147	0.084986596	1.070649567	
ACTR6	0.891551508	FALSE	0.523891564	0.081059424	1.091196484	
ACTR8	0.161161382	FALSE	0.466727476	0.084986596	1.070649567	
ACTRT3	-1.388453751	FALSE	0.471330776	0.084986596	1.070649567	
ACVR1	-1.439477746	FALSE	0.492585835	0.084986596	1.070649567	
ACVR1B	-1.212020619	FALSE	0.618141451	0.021647713	1.664587974	
ACVR1C	-0.120344811	FALSE	0.493064767	0.084986596	1.070649567	
ACVR2A	-0.5792978	FALSE	0.48002825	0.084986596	1.070649567	
ACVR2B	1.005361874	FALSE	0.508235369	0.084986596	1.070649567	
ACVRL1	-0.238089703	FALSE	0.466962191	0.084986596	1.070649567	
ACY1	0.4316039	FALSE	0.477335073	0.084986596	1.070649567	
ACY3	-0.302977825	FALSE	0.563567143	0.051370723	1.289284323	
ACYP1	-0.479768084	FALSE	0.472316889	0.084986596	1.070649567	
ACYP2	-1.091546439	FALSE	0.492261251	0.084986596	1.070649567	
ADA	-0.752842223	FALSE	0.501845799	0.084986596	1.070649567	
ADA2	0.014424993	FALSE	0.48094749	0.084986596	1.070649567	
ADAL	-0.156449723	FALSE	0.474938872	0.084986596	1.070649567	
ADAM10	1.450492738	FALSE	0.468554817	0.084986596	1.070649567	
ADAM11	0.35568786	FALSE	0.468488764	0.084986596	1.070649567	
ADAM12	-1.129110575	FALSE	0.571185505	0.046321422	1.334218113	
ADAM15	0.785060659	FALSE	0.52260288	0.081936071	1.086524866	
ADAM17	0.336600501	FALSE	0.512885092	0.084986596	1.070649567	
ADAM19	-0.91459644	FALSE	0.501779184	0.084986596	1.070649567	
ADAM22	-0.180403193	FALSE	0.544849223	0.065814089	1.181681128	
ADAM23	0.261426916	FALSE	0.527328171	0.0783422	1.106004238	
ADAM28	-0.390721233	FALSE	0.481956897	0.084986596	1.070649567	
ADAM29	0.684747326	FALSE	0.50072113	0.084986596	1.070649567	
ADAM33	-0.456064554	FALSE	0.587675489	0.036421177	1.438646027	
ADAM8	1.656212108	FALSE	0.466289768	0.084986596	1.070649567	
ADAM9	-1.773821453	FALSE	0.486575582	0.084986596	1.070649567	
ADAMDEC1	-1.07480802	FALSE	0.619793886	0.021037434	1.677007225	
ADAMTS1	-0.983613775	FALSE	0.472541573	0.084986596	1.070649567	
ADAMTS10	-0.259840788	FALSE	0.471020786	0.084986596	1.070649567	
ADAMTS13	-0.313054517	FALSE	0.467440956	0.084986596	1.070649567	
ADAMTS14	0.183584696	FALSE	0.47569775	0.084986596	1.070649567	
ADAMTS17	-0.728147252	FALSE	0.473156593	0.084986596	1.070649567	
ADAMTS2	-0.114174709	FALSE	0.485113294	0.084986596	1.070649567	
ADAMTS4	0.27955668	FALSE	0.466332914	0.084986596	1.070649567	
ADAMTS5	-0.368769845	FALSE	0.497114091	0.084986596	1.070649567	
ADAMTS6	0.20214699	FALSE	0.476805363	0.084986596	1.070649567	
ADAMTSL2	0.549165389	FALSE	0.466686374	0.084986596	1.070649567	
ADAMTSL4	0.416561803	FALSE	0.472108876	0.084986596	1.070649567	
ADAMTSL5	2.152761528	FALSE	0.467584497	0.084986596	1.070649567	
ADAP1	0.399967535	FALSE	0.467115272	0.084986596	1.070649567	
ADAP2	0.103029297	FALSE	0.594757311	0.03256177	1.487291999	
ADAR	-0.380577405	FALSE	0.466369594	0.084986596	1.070649567	
ADARB1	-0.561326316	FALSE	0.552415368	0.060101833	1.221112285	
ADARB2	-0.406027533	FALSE	0.487452473	0.084986596	1.070649567	
ADAT1	-0.6043972	FALSE	0.470531207	0.084986596	1.070649567	
ADAT2	-0.143553744	FALSE	0.474906148	0.084986596	1.070649567	
ADAT3	-0.31590822	FALSE	0.484160544	0.084986596	1.070649567	
ADCK1	-1.092753451	FALSE	0.466820991	0.084986596	1.070649567	
ADCK2	-0.810833471	FALSE	0.481665738	0.084986596	1.070649567	
ADCK5	0.801428475	FALSE	0.468941575	0.084986596	1.070649567	
ADCY10	-0.265020995	FALSE	0.470567721	0.084986596	1.070649567	
ADCY3	0.693642685	FALSE	0.466837179	0.084986596	1.070649567	
ADCY4	-1.29438888	FALSE	0.473414011	0.084986596	1.070649567	
ADCY6	1.003458978	FALSE	0.478157696	0.084986596	1.070649567	
ADCY7	-0.291606808	FALSE	0.609436108	0.025289077	1.597067019	
ADCY9	-0.063100451	FALSE	0.561425243	0.05327411	1.273483799	
ADD1	-0.99585924	FALSE	0.483661586	0.084986596	1.070649567	
ADD2	0.139914343	FALSE	0.486355546	0.084986596	1.070649567	
ADD3	-0.508829903	FALSE	0.466308255	0.084986596	1.070649567	
ADGRA2	0.840301184	FALSE	0.466646905	0.084986596	1.070649567	
ADGRA3	-0.258409329	FALSE	0.466485878	0.084986596	1.070649567	
ADGRB1	1.089020281	FALSE	0.51005931	0.084986596	1.070649567	
ADGRB2	-0.72398679	FALSE	0.485078571	0.084986596	1.070649567	
ADGRD1	-0.890539409	FALSE	0.657691228	0.009994614	2.000233983	
ADGRE1	-0.713984754	FALSE	0.466608986	0.084986596	1.070649567	
ADGRE2	-1.354936426	FALSE	0.466741324	0.084986596	1.070649567	
ADGRE3	-1.17016635	FALSE	0.473945422	0.084986596	1.070649567	
ADGRE5	0.732242953	FALSE	0.467186739	0.084986596	1.070649567	
ADGRF3	-0.143752562	FALSE	0.487111107	0.084986596	1.070649567	
ADGRG1	2.322782372	FALSE	0.485607996	0.084986596	1.070649567	
ADGRG3	0.383309545	FALSE	0.50879589	0.084986596	1.070649567	
ADGRG5	-1.144656889	FALSE	0.466638256	0.084986596	1.070649567	
ADGRG6	-0.795914234	FALSE	0.467003344	0.084986596	1.070649567	
ADGRL1	0.117898484	FALSE	0.466620096	0.084986596	1.070649567	
ADGRV1	0.486839157	FALSE	0.570233927	0.046822351	1.329546781	
ADH5	0.940904369	FALSE	0.530127614	0.075874273	1.119905455	
ADHFE1	0.133085203	FALSE	0.46626242	0.084986596	1.070649567	
ADI1	-0.598088334	FALSE	0.565139685	0.050394033	1.297620881	
ADIPOR1	0.480448502	FALSE	0.472678074	0.084986596	1.070649567	
ADIPOR2	-1.057506952	FALSE	0.554982815	0.057637716	1.239293237	
ADK	1.334087193	FALSE	0.510357035	0.084986596	1.070649567	
ADM	-0.203334093	FALSE	0.468408584	0.084986596	1.070649567	
ADM2	1.140320685	FALSE	0.547031553	0.064290099	1.191855903	
ADM5	0.507761214	FALSE	0.517819394	0.084986596	1.070649567	
ADNP	-0.284541385	FALSE	0.466539783	0.084986596	1.070649567	
ADNP2	0.708066513	FALSE	0.47397156	0.084986596	1.070649567	
ADO	0.723438453	FALSE	0.656044248	0.010422593	1.982024216	
ADORA1	1.613073108	FALSE	0.466381054	0.084986596	1.070649567	
ADORA2A	0.515219368	FALSE	0.485758194	0.084986596	1.070649567	
ADORA2B	0.495808491	FALSE	0.500139779	0.084986596	1.070649567	
ADORA3	1.099615759	FALSE	0.474263355	0.084986596	1.070649567	
ADPGK	1.797633189	FALSE	0.526153374	0.079351194	1.100446534	
ADPRH	-1.566020152	FALSE	0.836706739	1.64E-05	4.785100342	
ADPRHL1	0.63939108	FALSE	0.558503431	0.054945351	1.260069046	
ADPRM	-0.692305322	FALSE	0.582675983	0.039052185	1.408354657	
ADPRS	-0.30146445	FALSE	0.50745203	0.084986596	1.070649567	
ADRA2A	0.414924417	FALSE	0.470435229	0.084986596	1.070649567	
ADRB1	0.436203314	FALSE	0.573341758	0.044711001	1.349585604	
ADRB2	0.383776793	FALSE	0.580637294	0.04015022	1.396312072	
ADRM1	0.191366735	FALSE	0.488756619	0.084986596	1.070649567	
ADSL	-0.35020014	FALSE	0.57061267	0.046564258	1.331947318	
ADSS1	1.678465823	FALSE	0.48474606	0.084986596	1.070649567	
ADSS2	0.153888318	FALSE	0.486380695	0.084986596	1.070649567	
ADTRP	-0.827663559	FALSE	0.588690482	0.035960486	1.444174447	
AEBP1	0.152884678	FALSE	0.466365565	0.084986596	1.070649567	
AEBP2	-0.567785171	FALSE	0.474727411	0.084986596	1.070649567	
AEN	1.679185039	FALSE	0.480996821	0.084986596	1.070649567	
AFAP1	-0.113881371	FALSE	0.483492501	0.084986596	1.070649567	
AFAP1L2	-0.648186096	FALSE	0.539312716	0.069262516	1.159501739	
AFDN	-0.026057335	FALSE	0.547516835	0.06378088	1.195309493	
AFF1	-0.175648108	FALSE	0.556815961	0.056240249	1.249952767	
AFF2	0.312558403	FALSE	0.545560885	0.065427985	1.184236457	
AFF3	0.265656541	FALSE	0.544960708	0.065713675	1.182344247	
AFF4	0.712502182	FALSE	0.467235342	0.084986596	1.070649567	
AFG1L	-0.459080821	FALSE	0.466918191	0.084986596	1.070649567	
AFG3L2	-0.347874855	FALSE	0.508298069	0.084986596	1.070649567	
AFMID	0.297535433	FALSE	0.466929532	0.084986596	1.070649567	
AFTPH	0.158872521	FALSE	0.488380001	0.084986596	1.070649567	
AGA	-0.562140227	FALSE	0.540948892	0.068290553	1.16563937	
AGAP1	0.30258188	FALSE	0.508490273	0.084986596	1.070649567	
AGAP2	0.965842953	FALSE	0.488254942	0.084986596	1.070649567	
AGAP3	-0.610593099	FALSE	0.475190203	0.084986596	1.070649567	
AGAP4	2.405582621	FALSE	0.567579342	0.048575312	1.313584405	
AGAP5	0.106234427	FALSE	0.535062672	0.07199351	1.142706653	
AGAP6	1.195809412	FALSE	0.54123885	0.06822958	1.166027302	
AGAP9	3.794813421	FALSE	0.482947975	0.084986596	1.070649567	
AGBL2	-0.234454776	FALSE	0.46710479	0.084986596	1.070649567	
AGBL3	1.233562745	FALSE	0.504144757	0.084986596	1.070649567	
AGBL5	0.987478303	FALSE	0.673240553	0.006788346	2.168236008	
AGER	1.001756408	FALSE	0.466980647	0.084986596	1.070649567	
AGFG1	-0.756843203	FALSE	0.492756017	0.084986596	1.070649567	
AGFG2	-0.266921898	FALSE	0.473057506	0.084986596	1.070649567	
AGGF1	-0.472527246	FALSE	0.466995571	0.084986596	1.070649567	
AGK	-0.645172756	FALSE	0.47823356	0.084986596	1.070649567	
AGL	0.104388416	FALSE	0.507486259	0.084986596	1.070649567	
AGMAT	0.040975094	FALSE	0.477861611	0.084986596	1.070649567	
AGO1	0.216261468	FALSE	0.515511322	0.084986596	1.070649567	
AGO2	-0.359477893	FALSE	0.466866823	0.084986596	1.070649567	
AGO3	-1.603363869	FALSE	0.486978568	0.084986596	1.070649567	
AGO4	0.279669064	FALSE	0.472653381	0.084986596	1.070649567	
AGPAT1	0.211855495	FALSE	0.466413333	0.084986596	1.070649567	
AGPAT2	0.052719433	FALSE	0.509244223	0.084986596	1.070649567	
AGPAT3	-1.499779868	FALSE	0.534721183	0.072039843	1.142427244	
AGPAT4	0.137775441	FALSE	0.478809794	0.084986596	1.070649567	
AGPAT5	-0.174093581	FALSE	0.481341361	0.084986596	1.070649567	
AGPS	-0.015822341	FALSE	0.469118064	0.084986596	1.070649567	
AGRN	2.00583859	FALSE	0.468590736	0.084986596	1.070649567	
AGRP	0.290720491	FALSE	0.485314607	0.084986596	1.070649567	
AGTPBP1	-1.385239363	FALSE	0.552397866	0.060101833	1.221112285	
AGTRAP	1.363225555	FALSE	0.473089264	0.084986596	1.070649567	
AHCTF1	-0.526723115	FALSE	0.480129086	0.084986596	1.070649567	
AHCY	-0.684033241	FALSE	0.469845302	0.084986596	1.070649567	
AHCYL1	1.254299179	FALSE	0.550674838	0.061387311	1.211921391	
AHCYL2	-1.327412396	FALSE	0.480179479	0.084986596	1.070649567	
AHDC1	0.364483512	FALSE	0.501762082	0.084986596	1.070649567	
AHI1	0.502273833	FALSE	0.467525009	0.084986596	1.070649567	
AHNAK	-1.117026723	FALSE	0.522137471	0.082430063	1.083914369	
AHR	-1.03366294	FALSE	0.474472893	0.084986596	1.070649567	
AHRR	1.208336	FALSE	0.589170027	0.035777593	1.446388877	
AHSA1	0.259092082	FALSE	0.495845654	0.084986596	1.070649567	
AHSP	-0.065528576	FALSE	0.467757788	0.084986596	1.070649567	
AICDA	-1.16412247	FALSE	0.520584667	0.083741149	1.077061086	
AIDA	0.424726499	FALSE	0.466364273	0.084986596	1.070649567	
AIF1	-1.671340519	FALSE	0.544336362	0.066310308	1.178418952	
AIFM1	0.163827359	FALSE	0.566660826	0.049338606	1.306813127	
AIFM2	0.308276899	FALSE	0.476057349	0.084986596	1.070649567	
AIFM3	-1.216158679	FALSE	0.501744607	0.084986596	1.070649567	
AIG1	-0.621615915	FALSE	0.469727413	0.084986596	1.070649567	
AIM2	-0.679657362	FALSE	0.55824391	0.055091339	1.25891667	
AIMP1	-0.86317393	FALSE	0.498726083	0.084986596	1.070649567	
AIMP2	1.200194679	FALSE	0.484907673	0.084986596	1.070649567	
AIP	0.69050864	FALSE	0.506750079	0.084986596	1.070649567	
AIRE	-0.637853005	FALSE	0.51812383	0.084986596	1.070649567	
AJAP1	3.04161403	TRUE	0.481138626	0.084986596	1.070649567	
AJM1	2.849357296	FALSE	0.467783547	0.084986596	1.070649567	
AJUBA	0.432288887	FALSE	0.471119222	0.084986596	1.070649567	
AK1	0.481191512	FALSE	0.468291677	0.084986596	1.070649567	
AK2	0.288895997	FALSE	0.478657	0.084986596	1.070649567	
AK3	-0.446857441	FALSE	0.46628993	0.084986596	1.070649567	
AK4	0.157809575	FALSE	0.487878833	0.084986596	1.070649567	
AK5	-0.64164052	FALSE	0.654140204	0.010673943	1.971675114	
AK6	-1.474101487	FALSE	0.584892223	0.037842197	1.422023655	
AK7	0.875427143	FALSE	0.489305043	0.084986596	1.070649567	
AK8	-0.960804797	FALSE	0.466254916	0.084986596	1.070649567	
AK9	0.396011177	FALSE	0.482224802	0.084986596	1.070649567	
AKAP1	-0.944137367	FALSE	0.512952367	0.084986596	1.070649567	
AKAP10	-0.721695771	FALSE	0.470679568	0.084986596	1.070649567	
AKAP11	-0.925411867	FALSE	0.486858147	0.084986596	1.070649567	
AKAP12	-0.58832638	FALSE	0.495588183	0.084986596	1.070649567	
AKAP13	-1.114879789	FALSE	0.549477835	0.062310523	1.2054386	
AKAP17A	0.819742267	FALSE	0.466745209	0.084986596	1.070649567	
AKAP3	-1.478637704	FALSE	0.508583892	0.084986596	1.070649567	
AKAP5	-0.093474969	FALSE	0.52255959	0.081984923	1.086266008	
AKAP6	0.684114174	FALSE	0.467031486	0.084986596	1.070649567	
AKAP7	-0.053868188	FALSE	0.499377447	0.084986596	1.070649567	
AKAP8	0.346553931	FALSE	0.515368541	0.084986596	1.070649567	
AKAP8L	-1.097409577	FALSE	0.521095669	0.083291868	1.0793974	
AKAP9	-1.525674976	FALSE	0.509285506	0.084986596	1.070649567	
AKIP1	-0.09466287	FALSE	0.580674439	0.04015022	1.396312072	
AKIRIN1	0.169805202	FALSE	0.479518929	0.084986596	1.070649567	
