gene,Pearson_rho_Gene
ACVRL1,-0.212333507
ACY1,0.145424528
ACY3,0.529400237
ACYP1,0.094855643
ACYP2,0.263810851
ADA,0.022692154
ADA2,-0.268409246
ADAL,0.252015362
ADAM10,-0.183393216
ADAM11,0.202751586
ADAM12,-0.349339723
ADAM15,0.242143068
ADAM17,-0.377230097
ADAM19,-0.255759469
ADAM22,-0.456675433
ADAM23,-0.149905287
ADAM28,0.042153295
ADAM29,0.236296912
ADAM33,0.512340101
ADAM8,0.149924571
ADAM9,-0.312994036
ADAMDEC1,0.599239683
ADAMTS1,-0.258802742
ADAMTS10,-0.169710963
ADAMTS13,-0.108275119
ADAMTS14,-0.163207448
ADAMTS17,0.026383248
ADAMTS2,-0.182502663
ADAMTS4,-0.056131408
ADAMTS5,-0.287639405
ADAMTS6,-0.224919283
ADAMTSL2,0.054536127
ADAMTSL4,-0.01663124
ADAMTSL5,-0.123083629
ADAP1,-0.003525062
ADAP2,-0.570118022
ADAR,-0.056639991
ADARB1,-0.302522422
ADARB2,0.088163119
ADAT1,-0.139589239
ADAT2,0.05188091
ADAT3,0.120408361
ADCK1,-0.03993364
ADCK2,0.061018047
ADCK5,0.034844256
ADCY10,0.194719121
ADCY3,-0.042444509
ADCY4,0.04884851
ADCY6,-0.225152223
ADCY7,-0.566657003
ADCY9,-0.499701952
ADD1,0.304451961
ADD2,0.120798007
ADD3,-0.1391075
ADGRA2,-0.16842068
ADGRA3,-0.07000775
ADGRB1,-0.253356421
ADGRB2,0.063763836
ADGRD1,-0.524588819
ADGRE1,0.006252561
ADGRE2,0.082647218
ADGRE3,0.169171106
ADGRE5,0.17700454
ADGRF3,-0.198531124
ADGRG1,-0.37474208
ADGRG3,0.043837332
ADGRG5,-0.202378681
ADGRG6,-0.174273518
ADGRL1,-0.096552499
ADGRV1,-0.385336544
ADH5,0.312854295
ADHFE1,-0.076026936
ADI1,0.423190849
ADIPOR1,0.163862458
ADIPOR2,-0.310977076
ADK,0.209544208
ADM,0.083418364
ADM2,-0.095015904
ADM5,0.368564062
ADNP,0.097758733
ADNP2,-0.191482409
ADO,-0.57304458
ADORA1,0.156204989
ADORA2A,0.286653053
ADORA2B,-0.312415089
ADORA3,-0.011417688
ADPGK,-0.319268276
ADPRH,-0.81284278
ADPRHL1,0.301826213
ADPRM,0.360523054
ADPRS,0.252355225
ADRA2A,-0.052884402
ADRB1,-0.423938672
ADRB2,-0.463539584
ADRM1,0.293569863
ADSL,0.533334638
ADSS1,0.059760589
ADSS2,-0.298402433
ADTRP,0.372061862
AEBP1,0.096344185
AEBP2,-0.051207467
AEN,0.105209262
AFAP1,0.047292325
AFAP1L2,-0.348989487
AFDN,0.195887271
AFF1,-0.433743499
AFF2,-0.348772076
AFF3,0.447314132
AFF4,-0.183767196
AFG1L,-0.107866084
AFG3L2,0.285197836
AFMID,-0.05633615
AFTPH,0.180677747
AGA,0.194412267
AGAP1,0.2333155
AGAP2,-0.131703351
AGAP3,-0.064213617
AGAP4,-0.272564783
AGAP5,-0.35868372
AGAP6,-0.337295662
AGAP9,-0.193650189
AGBL2,-0.057373649
AGBL3,-0.146904973
AGBL5,0.545326672
AGER,0.064836589
AGFG1,-0.362257317
AGFG2,-0.03569084
AGGF1,-0.131940598
AGK,-0.263704179
AGL,-0.38691325
AGMAT,0.255526776
AGO1,-0.41803893
AGO2,0.217235778
AGO3,0.032252924
AGO4,0.122375169
AGPAT1,0.288538469
AGPAT2,0.209421725
AGPAT3,-0.413458141
AGPAT4,-0.172014292
AGPAT5,-0.005138706
AGPS,-0.211078882
AGRN,-0.041486042
AGRP,0.010659913
AGTPBP1,-0.323637921
AGTRAP,0.187866771
AHCTF1,0.190902816
AHCY,-0.045455827
AHCYL1,-0.332723996
AHCYL2,-0.229888344
AHDC1,-0.272257626
AHI1,-0.117532744
AHNAK,-0.404346118
AHR,-0.222811235
AHRR,-0.319727164
AHSA1,0.13520777
AHSP,-0.052453958
AICDA,-0.341574256
AIDA,-0.067955564
AIF1,0.450840354
AIFM1,0.314786877
AIFM2,0.076236314
AIFM3,0.050794741
AIG1,0.104816541
AIM2,-0.425131141
AIMP1,0.064875386
AIMP2,0.141562145
AIP,0.319746546
AIRE,0.402035601
AJAP1,-0.095424874
AJM1,-0.089020944
AJUBA,-0.046240401
AK1,0.051304596
AK2,-0.059639357
AK3,-0.126244406
AK4,-0.3001838
AK5,0.634241472
AK6,0.546355008
AK7,0.309050996
AK8,-0.051476647
AK9,0.032444832
AKAP1,0.10069588
AKAP10,-0.09569543
AKAP11,-0.301432513
AKAP12,-0.106299033
AKAP13,-0.014153147
AKAP17A,0.06500776
AKAP3,-0.171386979
AKAP5,-0.439924742
AKAP6,-0.100659639
AKAP7,0.081537736
AKAP8,-0.196554825
AKAP8L,0.378647062
AKAP9,-0.321622796
AKIP1,0.322243204
AKIRIN1,0.151860525
AKIRIN2,0.024886097
AKNA,0.179544534
AKR1A1,0.143548742
AKR1B1,0.373810048
AKR1C1,-0.177761154
AKR1C3,0.054421067
AKR1E2,0.080042553
AKR7A2,0.170388395
AKR7A3,0.417998544
AKR7L,0.067095291
AKT1,0.204401574
AKT1S1,0.332767654
AKT2,-0.306942385
AKT3,-0.108679661
AKTIP,0.140018846
ALAD,-0.233819481
ALAS1,-0.055181609
ALAS2,-0.158964052
ALB,-0.029663627
ALCAM,-0.072280916
ALDH16A1,0.07630973
ALDH18A1,-0.256364713
ALDH1A1,-0.302423006
ALDH1A2,0.221507915
ALDH1B1,-0.169689261
ALDH1L2,-0.015484801
ALDH2,-0.292923118
ALDH3A2,-0.169964381
ALDH3B1,-0.104104551
ALDH4A1,-0.033185876
ALDH5A1,-0.165953865
ALDH6A1,-0.129709748
ALDH7A1,0.554428461
ALDH8A1,-0.079428038
ALDH9A1,0.032953433
ALDOA,0.439434025
ALDOC,0.453519245
ALG1,-0.161860299
ALG10,-0.372853034
ALG10B,-0.328775015
ALG11,0.115223871
ALG12,0.091833224
ALG13,-0.077677076
ALG14,-0.10990835
ALG1L2,0.515668
ALG2,-0.289669391
ALG3,0.169778257
ALG5,0.382510978
ALG6,-0.438888201
ALG8,0.268797142
ALG9,0.166902784
ALKAL2,-0.396575006
ALKBH1,-0.062224294
ALKBH2,0.123369965
ALKBH3,0.177199915
ALKBH4,0.085945329
ALKBH5,0.39729429
ALKBH6,0.127255549
ALKBH7,0.337030733
ALKBH8,-0.38665132
ALMS1,0.185890577
ALOX12,0.388300733
ALOX12B,0.194373393
ALOX15,-0.065530354
ALOX15B,-0.102632422
ALOX5,0.021590051
ALOX5AP,0.218712939
ALOXE3,0.491122605
ALPK1,0.088050822
ALPK2,-0.305270771
ALPK3,0.043676023
ALPL,-0.006242676
ALS2,-0.556131778
ALS2CL,-0.205323383
ALYREF,0.437270412
AMACR,0.012156811
AMBRA1,-0.162110094
AMD1,0.209776993
AMDHD1,-0.075425349
AMDHD2,0.25921488
AMER1,-0.423873139
AMFR,-0.019098421
AMH,-0.000499246
AMIGO1,0.356872677
AMIGO2,0.143377205
AMMECR1,-0.457837993
AMMECR1L,-0.566697868
AMN,0.01316256
AMN1,0.070137613
AMOT,-0.036530186
AMOTL1,-0.621735871
AMPD2,0.383272408
AMPD3,-0.335800247
AMPH,-0.229441758
AMT,-0.348686258
AMY2B,0.265587927
AMZ2,0.439487977
ANAPC1,-0.19670277
ANAPC10,-0.213182278
ANAPC11,0.304725209
ANAPC13,0.568637279
ANAPC15,0.371518885
ANAPC16,0.672189261
ANAPC2,0.098622813
ANAPC4,-0.30290654
ANAPC5,0.157027398
ANAPC7,-0.03139786
ANG,0.332095343
ANGEL1,-0.391242389
ANGEL2,-0.475014471
ANGPT1,0.019506765
ANGPTL6,-0.136121164
ANK1,0.064482851
ANK3,-0.298904724
ANKAR,-0.2809108
ANKDD1A,0.161211287
ANKDD1B,-0.276948171
ANKEF1,0.002150351
ANKFY1,-0.410368489
ANKH,0.144375531
ANKHD1,-0.275963506
ANKIB1,-0.407238843
ANKK1,-0.119473686
ANKLE1,-0.355775906
ANKLE2,-0.220605827
ANKMY1,0.050695758
ANKMY2,0.077269245
ANKRA2,-0.115193453
ANKRD10,-0.109928818
ANKRD11,0.269682452
ANKRD12,-0.054750191
ANKRD13A,0.104868634
ANKRD13B,-0.233921035
ANKRD13C,-0.309435001
ANKRD13D,0.248413814
ANKRD16,0.430463987
ANKRD17,-0.249531031
ANKRD18A,-0.246866322
ANKRD18B,0.07070033
ANKRD2,-0.027285335
ANKRD20A1,0.088106058
ANKRD22,-0.242530096
ANKRD23,-0.232942784
ANKRD24,-0.419009119
ANKRD26,-0.269825206
ANKRD27,-0.37246642
ANKRD28,-0.214387637
ANKRD29,0.376106138
ANKRD31,0.40675758
ANKRD33B,-0.175760378
ANKRD34A,-0.288831546
ANKRD34B,-0.31455131
ANKRD35,-0.23066057
ANKRD36,-0.238690898
ANKRD36B,0.186643069
ANKRD36C,-0.266173368
ANKRD37,0.015389238
ANKRD39,0.107672327
ANKRD40,-0.273034901
ANKRD42,-0.656146143
ANKRD44,-0.201159706
ANKRD46,-0.129381588
ANKRD49,-0.26301765
ANKRD50,-0.361077709
ANKRD52,-0.361537303
ANKRD53,0.487687681
ANKRD54,0.412206949
ANKRD55,0.266674403
ANKRD6,0.2266127
ANKRD61,-0.060727063
ANKRD65,-0.222845925
ANKRD7,-0.213391271
ANKRD9,0.15412344
ANKS1A,-0.396182622
ANKS1B,0.275074071
ANKS3,0.168458049
ANKS6,0.231540605
ANKUB1,0.172156432
ANKZF1,0.077974542
ANLN,-0.356295846
ANO10,0.091702737
ANO2,0.146553994
ANO5,-0.403420486
ANO6,-0.312857342
ANO8,-0.281705043
ANO9,0.146750126
ANOS1,-0.043497616
ANP32A,0.365879323
ANP32B,0.524563188
ANP32E,-0.357565
ANPEP,0.389392492
ANTKMT,0.174764501
ANTXR2,-0.192195044
ANTXRL,-0.142508941
ANXA1,-0.085677636
ANXA11,0.24870968
ANXA2,-0.086706656
ANXA2R,0.323796857
ANXA3,-0.022336057
ANXA4,-0.354995869
ANXA5,-0.161592978
ANXA6,0.486003329
ANXA7,0.302934243
ANXA8,-0.185114836
ANXA8L1,-0.274493098
ANXA9,-0.402726649
AOAH,0.015454536
AOC1,-0.332356805
AOC2,0.277637374
AOC3,0.413091281
AOPEP,-0.272421204
AP1AR,-0.308877319
AP1B1,-0.182615245
AP1G1,-0.290047938
AP1G2,-0.030088768
AP1M1,0.280284561
AP1M2,0.391564234
AP1S1,0.25086372
AP1S2,-0.436480634
AP1S3,-0.041303744
AP2A1,0.066802327
AP2A2,0.04224669
AP2B1,-0.385207425
AP2M1,0.667255188
AP2S1,0.292231081
AP3B1,-0.079142236
AP3B2,-0.024756865
AP3D1,0.24513932
AP3M1,-0.262143977
AP3M2,-0.268459638
AP3S1,0.43176504
AP3S2,0.064710912
AP4B1,-0.145160098
AP4E1,-0.309118349
AP4M1,-0.12794306
AP4S1,-0.067530501
AP5B1,0.144312219
AP5M1,-0.130710497
AP5S1,0.21179238
AP5Z1,0.211977454
APAF1,-0.109408085
APBA1,-0.447702043
APBA2,0.587552814
APBA3,0.145757213
APBB1,0.542461718
APBB1IP,0.006262665
APBB2,0.057958646
APBB3,-0.288733357
APC,-0.239336604
APCDD1,-0.350827041
APEH,0.255831573
APEX1,0.270407939
APEX2,0.438686279
APH1A,0.1820463
APH1B,0.535077291
API5,-0.100885267
APIP,-0.110037467
APLF,0.280322852
APLP2,-0.258374486
APMAP,0.128261681
APOA1,-0.12756318
APOBEC3A,0.184549925
APOBEC3B,-0.438915568
APOBEC3C,-0.575578634
APOBEC3D,-0.386476892
APOBEC3F,-0.118321247
APOBEC3G,-0.439380626
APOBEC3H,-0.361155466
APOBR,0.296539407
APOC1,0.036224912
APOD,0.605948823
APOE,0.065651786
APOL1,0.123313024
APOL2,0.160401784
APOL3,-0.070109013
APOL4,0.133366623
APOL6,-0.325562605
APOLD1,-0.116437816
APOM,0.616078286
APOO,0.015252827
APOOL,-0.309709093
APP,-0.165521746
APPBP2,-0.235713184
APPL1,-0.129255384
APPL2,0.058112615
APRT,0.449127802
APTX,0.068922567
AQP1,0.087142837
AQP10,0.070002116
AQP11,0.308488657
AQP3,0.140716306
AQP9,0.006158446
AQR,-0.113476651
ARAF,0.062315937
ARAP1,0.179096173
ARAP2,-0.418748479
ARAP3,0.312652898
ARCN1,0.51113644
AREG,0.323934138
AREL1,-0.077144769
ARF1,0.207910679
ARF3,0.008221244
ARF4,-0.048557308
ARF5,0.555158608
ARF6,-0.326271648
ARFGAP1,0.111958488
ARFGAP2,0.027206118
ARFGAP3,0.068823953
ARFGEF1,0.399563768
ARFGEF2,-0.312553015
ARFIP1,-0.01057141
ARFIP2,0.331858429
ARFRP1,0.298193047
ARG1,0.113828079
ARG2,0.372500364
ARGLU1,-0.122294091
ARHGAP1,0.158906519
ARHGAP10,0.278122471
ARHGAP11A,-0.33347105
ARHGAP11B,-0.355766937
ARHGAP12,-0.083541281
ARHGAP15,0.40653258
ARHGAP17,-0.193941461
ARHGAP18,-0.226063991
ARHGAP19,-0.104757161
ARHGAP21,-0.134465584
ARHGAP22,-0.036574351
ARHGAP23,-0.237445681
ARHGAP24,-0.236216171
ARHGAP25,0.329922928
ARHGAP26,0.253902608
ARHGAP27,-0.080944964
ARHGAP29,-0.366607257
ARHGAP30,0.122966244
ARHGAP31,-0.326762509
ARHGAP32,-0.344299785
ARHGAP33,0.168783088
ARHGAP35,-0.124638526
ARHGAP4,0.234675601
ARHGAP42,-0.360486396
ARHGAP44,0.111294434
ARHGAP45,0.393058622
ARHGAP5,-0.061196001
ARHGAP6,0.345392575
ARHGAP8,-0.28873592
ARHGAP9,0.493943303
ARHGDIA,0.277499953
ARHGDIB,0.43096428
ARHGEF1,0.149388105
ARHGEF10,0.195228743
ARHGEF10L,-0.487714086
ARHGEF11,-0.192293866
ARHGEF12,-0.330429119
ARHGEF17,0.043645436
ARHGEF18,0.175600795
ARHGEF19,-0.017829058
ARHGEF2,0.346651389
ARHGEF25,-0.328040705
ARHGEF28,-0.017958644
ARHGEF3,-0.233886648
ARHGEF35,-0.139565758
ARHGEF37,-0.073995671
ARHGEF39,0.410334152
ARHGEF4,0.101012195
ARHGEF40,0.348190653
ARHGEF5,0.334902247
ARHGEF6,-0.205757124
ARHGEF7,-0.462729922
ARHGEF9,0.032518106
ARID1A,-0.386390737
ARID1B,-0.265622306
ARID2,-0.118833413
ARID3A,-0.109313454
ARID3B,0.211523899
ARID4A,-0.068060062
ARID4B,-0.150280507
ARID5A,0.134074587
ARID5B,-0.096952036
ARIH1,-0.096533934
ARIH2,-0.137959284
ARL1,-0.248291867
ARL10,0.263456438
ARL11,-0.186014179
ARL13B,-0.554645089
ARL14EP,-0.0416864
ARL15,-0.218931263
ARL16,0.357148133
ARL17A,-0.396043097
ARL17B,-0.250541061
ARL2,0.285440815
ARL2BP,0.662611971
ARL3,0.500755362
ARL4A,0.076553181
ARL4C,-0.177936001
ARL4D,-0.332818658
ARL5A,-0.200994407
ARL5B,-0.093789512
ARL5C,0.308886817
ARL6,-0.074909758
ARL6IP1,-0.312065223
ARL6IP4,0.426112261
ARL6IP5,0.236528578
ARL6IP6,0.095222603
ARL8A,0.172620973
ARL8B,-0.096298443
ARL9,0.177087228
ARMC1,-0.505875631
ARMC10,-0.107698721
ARMC12,0.26137546
ARMC2,-0.182216485
ARMC3,0.591010092
ARMC5,0.194833973
ARMC6,0.041089998
ARMC7,0.241983502
ARMC8,0.054476976
ARMC9,-0.325196826
ARMCX1,-0.166169327
ARMCX2,-0.153453517
ARMCX3,-0.573122706
ARMCX4,0.045068861
ARMCX5,-0.277809648
ARMCX6,0.329334768
ARMH1,0.295923676
ARMH2,-0.071407791
ARMH3,0.089702979
ARMH4,-0.00516028
ARMT1,-0.670147029
ARNT,-0.570757144
ARPC1A,0.491189833
ARPC1B,0.158821531
ARPC2,0.369439805
ARPC3,0.5123649
ARPC4,0.480402
ARPC5,-0.046386012
ARPC5L,0.315074033
ARPIN,0.028500948
ARPP19,-0.199455358
ARPP21,-0.124062895
ARRB1,0.107676906
ARRB2,0.277734565
ARRDC1,0.183058515
ARRDC2,0.202499237
ARRDC3,-0.4339251
ARRDC4,-0.233253407
ARRDC5,0.110236402
ARSA,0.434809005
ARSB,-0.443588123
ARSD,-0.117093562
ARSG,-0.025251737
ARSJ,0.173392955
ARSK,0.054892561
ARV1,-0.059616468
ARVCF,-0.250589985
ASAH1,0.104690353
ASAH2,-0.238199256
ASAH2B,-0.374988057
ASAP1,0.076849476
ASAP2,0.289055883
ASAP3,-0.245322014
ASB1,0.18906344
ASB12,0.170537965
ASB13,0.305361939
ASB16,0.176253628
ASB2,-0.22494166
ASB3,-0.372501982
ASB6,-0.199673656
ASB7,-0.161092993
ASB8,-0.27715007
ASB9,0.574470854
ASCC1,0.249766934
ASCC2,0.019617178
ASCC3,-0.330365291
ASCL2,0.071752631
ASDURF,0.134847044
ASF1A,-0.135078211
ASF1B,0.360601224
ASGR1,-0.048495745
ASGR2,0.018852528
ASH1L,-0.23190588
ASH2L,-0.255645851
ASIC1,-0.041715635
ASIC3,0.321557406
ASIP,0.151499918
ASL,0.256680554
ASMT,-0.119218803
ASMTL,0.255622921
ASNS,0.001599183
ASNSD1,0.181035636
ASPH,-0.092390727
ASPHD2,-0.294258006
ASPM,-0.25850551
ASPRV1,0.394914454
ASPSCR1,0.108051431
ASRGL1,-0.031617858
ASS1,-0.309921723
ASTE1,0.041457568
ASTL,-0.150733698
ASTN2,-0.088432509
ASXL1,-0.327023495
ASXL2,-0.210348546
ATAD1,-0.243769453
ATAD2,-0.343053631
ATAD2B,-0.501585532
ATAD3A,0.089457065
ATAD3B,0.021202411
ATAD3C,0.212466415
ATAD5,-0.178641707
ATAT1,-0.109263064
ATE1,-0.301635737
ATF1,-0.004040738
ATF2,-0.236963916
ATF3,-0.091463069
ATF4,0.712384766
ATF5,0.052588717
ATF6,0.005803872
ATF6B,-0.311847955
ATF7,-0.328811908
ATF7IP,-0.251834128
ATF7IP2,0.449963241
ATG10,0.361255029
ATG101,0.190405075
ATG12,-0.140178235
ATG13,0.115586914
ATG14,-0.32844128
ATG16L1,-0.340491975
ATG16L2,0.23492141
ATG2A,0.178471642
ATG2B,-0.372748922
ATG3,0.210032909
ATG4A,0.18259566
ATG4B,0.123596732
ATG4C,-0.016099441
ATG4D,0.17035501
ATG5,-0.118691727
ATG7,-0.050839334
ATG9A,-0.266564255
ATG9B,-0.111247335
ATIC,0.528628082
ATL1,-0.258489032
ATL2,-0.237458195
ATL3,-0.336057376
ATM,-0.307629769
ATMIN,0.036107414
ATN1,-0.395618135
ATOH8,0.082429465
ATOX1,0.394927561
ATP10A,-0.240733756
ATP10D,-0.37874816
ATP11A,-0.31081181
ATP11B,-0.083588272
ATP11C,-0.101795544
ATP13A1,0.054764536
ATP13A2,0.274124546
ATP13A3,-0.352307374
ATP13A4,-0.260631153
ATP1A1,0.005074989
ATP1A3,-0.176026777
ATP1A4,-0.034441638
ATP1B1,-0.226391062
ATP1B2,-0.277435596
ATP1B3,0.244315053
ATP23,0.198664431
ATP2A1,0.51790794
ATP2A2,-0.375016472
ATP2A3,0.213876099
ATP2B1,-0.201878181
ATP2B4,-0.571992861
ATP2C1,-0.080200856
ATP2C2,-0.015861554
ATP5F1A,0.474049612
ATP5F1B,0.356728663
ATP5F1C,0.416534108
ATP5F1D,0.271262843
ATP5F1E,0.189315594
ATP5IF1,0.198066701
ATP5MC1,0.380594796
ATP5MC2,0.23987211
ATP5MC3,0.178929607
ATP5ME,0.225770625
ATP5MF,0.340653736
ATP5MG,0.342606529
ATP5PB,0.181248128
ATP5PD,0.529185673
ATP5PF,0.680301438
ATP5PO,0.649308461
ATP6AP1,0.245076591
ATP6AP2,0.037730255
ATP6V0A1,0.44786266
ATP6V0A2,-0.328446614
ATP6V0B,0.277243629
ATP6V0C,0.261307367
ATP6V0D1,0.394313481
ATP6V0E1,0.312664766
ATP6V0E2,0.511280108
ATP6V1A,0.102397518
ATP6V1B2,0.378973999
ATP6V1C1,-0.082863361
ATP6V1C2,0.020727598
ATP6V1D,-0.078364722
ATP6V1E1,0.424735629
ATP6V1E2,0.297793846
ATP6V1F,0.205802681
ATP6V1G1,0.446312822
ATP6V1G2,0.054912301
ATP6V1H,0.07753317
ATP7A,-0.159197228
ATP7B,0.148545335
ATP8A1,-0.445456552
ATP8A2,-0.059960959
ATP8B2,-0.123367997
ATP8B3,-0.317084608
ATP8B4,-0.662063259
ATP9A,-0.402049326
ATP9B,-0.114377597
ATPAF1,0.208270085
ATPAF2,0.017580491
ATPSCKMT,0.016192792
ATR,0.176298525
ATRAID,0.413035942
ATRIP,-0.033372039
ATRN,-0.247950271
ATRNL1,-0.052774071
ATRX,-0.0043358
ATXN1,0.032483394
ATXN10,0.15873498
ATXN1L,-0.267139857
ATXN2,0.139824491
ATXN2L,0.027051342
ATXN3,-0.091702888
ATXN7,-0.23454532
ATXN7L1,-0.258281905
ATXN7L2,0.19143516
ATXN7L3,0.021242806
ATXN7L3B,-0.352436602
AUH,0.091981358
AUNIP,-0.091257051
AUP1,0.097466796
AURKA,-0.557788911
AURKAIP1,0.322120622
AURKB,0.086444561
AURKC,0.023124792
AUTS2,-0.290830088
AVEN,0.292944509
AVIL,-0.056076418
AVL9,-0.171749548
AVPI1,0.360839099
AVPR1A,-0.074262286
AVPR2,-0.079298849
AXIN1,0.1867427
AXIN2,-0.146778614
AXL,-0.15659683
AZI2,-0.368096352
AZIN1,-0.246606397
AZIN2,-0.038788815
AZU1,0.022197857
B2M,0.298248714
B3GALNT1,-0.242963196
B3GALNT2,-0.332208772
B3GALT2,-0.405105737
B3GALT4,0.255902548
B3GALT6,0.322318799
B3GAT1,-0.172532778
B3GAT2,0.18525391
B3GAT3,0.297040105
B3GLCT,-0.307262822
B3GNT2,-0.347028215
B3GNT3,0.188538553
B3GNT4,0.205112266
B3GNT5,0.343554146
B3GNT7,0.442065593
B3GNT8,0.206082071
B3GNT9,-0.052013903
B3GNTL1,-0.060464939
B4GALNT3,-0.038509247
B4GALNT4,-0.084813053
B4GALT1,-0.183724979
B4GALT2,-0.0356514
B4GALT3,-0.259122898
B4GALT4,-0.107347466
B4GALT5,-0.151073495
B4GALT6,-0.362617439
B4GALT7,-0.211020332
B4GAT1,-0.005354411
B9D1,-0.26465351
B9D2,0.379319466
BAALC,0.008677354
BABAM1,0.263011419
BABAM2,0.152469312
BACE1,-0.187186358
BACE2,-0.042268549
BACH1,-0.085079492
BACH2,-0.14232173
BAD,0.288102288
BAG1,0.359038132
BAG2,0.024103216
BAG3,0.139515718
BAG4,-0.471891515
BAG5,0.060164266
BAG6,0.258844197
BAHCC1,-0.174807069
BAHD1,-0.193941561
BAIAP2,0.051675493
BAIAP2L1,-0.1373077
BAIAP2L2,0.023383286
BAIAP3,0.263997877
BAK1,0.099415062
BAMBI,-0.020245785
BANF1,0.222292664
BANK1,-0.192124478
BANP,0.559740729
BAP1,0.669388336
BARD1,-0.394050402
BASP1,0.117011418
BATF,0.111270031
