gene	cv_FXS_zscore
ABRA	0.804676766
ABRACL	0.354927579
ABRAXAS1	0.214652151
ABRAXAS2	-0.563305338
ABT1	-0.208911995
ABTB1	0.092944469
ABTB2	0.746829068
ABTB3	-0.645653585
ACAA1	0.129611323
ACAA2	0.777648266
ACACA	-0.151988006
ACACB	-0.336222674
ACAD10	-1.351827632
ACAD11	0.081965616
ACAD8	1.752188429
ACAD9	1.034836686
ACADL	-1.646712344
ACADM	0.758617365
ACADS	-0.239184782
ACADSB	0.720798657
ACADVL	0.590320062
ACAN	-1.707044555
ACAP1	-1.473523283
ACAP2	0.683452147
ACAP3	3.348816228
ACAT1	0.07767908
ACAT2	0.2428123
ACBD3	1.282528587
ACBD4	0.841933662
ACBD5	0.138257513
ACBD6	-0.892530777
ACBD7	-0.323527837
ACCS	1.280248292
ACCSL	-0.317031071
ACD	1.674917799
ACE	0.85396772
ACE2	0.95313629
ACER1	-1.242112597
ACER2	-0.323649551
ACER3	0.098775779
ACHE	-0.012545899
ACIN1	0.424229505
ACKR1	0.189216934
ACKR2	1.098406672
ACKR3	-0.570376445
ACKR4	0.334653946
ACLY	0.560851559
ACMSD	-0.567698579
ACO1	-0.090444504
ACO2	0.952946605
ACOD1	-0.756132262
ACOT1	0.546670974
ACOT11	-1.587935329
ACOT12	-0.397294078
ACOT13	-1.373104513
ACOT2	-0.186003111
ACOT4	-0.296102555
ACOT6	0.230566221
ACOT7	-0.117852012
ACOT8	0.119866984
ACOT9	-1.543119637
ACOX1	1.642530196
ACOX2	0.920045927
ACOX3	-1.773200446
ACOXL	-1.987629554
ACP1	0.391068853
ACP2	0.583369872
ACP3	0.051702361
ACP4	0.697045959
ACP5	-0.595766085
ACP6	-0.207666317
ACP7	0.136000717
ACR	-0.113595449
ACRBP	-0.404608862
ACRV1	-0.582270928
ACSBG1	-0.370831077
ACSBG2	0.225799675
ACSF2	0.319229252
ACSF3	-1.037521871
ACSL1	-0.987899862
ACSL3	0.207728948
ACSL4	-1.886077833
ACSL5	-0.08925675
ACSL6	0.096161646
ACSM1	-1.500541931
ACSM2A	-1.821333079
ACSM2B	-0.985162926
ACSM3	-1.712509163
ACSM4	-1.012088852
ACSM5	-1.253674721
ACSM6	-1.455821352
ACSS1	0.544146436
ACSS2	-0.376679456
ACSS3	-0.261468421
ACTA1	-1.249375434
ACTA2	0.61025183
ACTB	1.497478665
ACTBL2	-0.122457706
ACTC1	-0.453256772
ACTG1	1.487672461
ACTG2	-0.628329681
ACTL10	-1.047896972
ACTL6A	0.525918624
ACTL6B	1.242797673
ACTL7A	-0.449459619
ACTL7B	-0.309549927
ACTL8	-1.087534925
ACTL9	0.451926073
ACTMAP	1.864971805
ACTN1	0.511417182
ACTN2	0.226993625
ACTN3	1.031236577
ACTN4	-0.485949903
ACTR10	1.342997382
ACTR1A	0.472104651
ACTR1B	-0.697557902
ACTR2	1.047226644
ACTR3	0.516863292
ACTR3B	0.702156261
ACTR3C	-1.170379971
ACTR5	1.496536917
ACTR6	-0.218892216
ACTR8	0.782465994
ACTRT1	-1.579249209
ACTRT2	-0.811364685
ACTRT3	-0.810775252
ACVR1	-0.613202941
ACVR1B	-0.800729255
ACVR1C	0.400477366
ACVR2A	0.476393163
ACVR2B	-0.734509622
ACVRL1	-0.753754928
ACY1	1.246799597
ACY3	-0.657699149
ACYP1	-0.727254731
ACYP2	-1.249836641
ADA	-0.218504546
ADA2	-1.243958609
ADAD1	-1.907391802
ADAD2	-0.960506023
ADAL	0.095903755
ADAM10	0.255838374
ADAM11	-0.19029533
ADAM12	-0.937039469
ADAM15	0.070087514
ADAM17	1.454727593
ADAM18	-1.856181791
ADAM19	-0.567367617
ADAM2	0.59031719
ADAM20	-1.835254786
ADAM21	-0.105614082
ADAM22	0.349353661
ADAM23	0.459434648
ADAM28	-0.682466416
ADAM29	-0.899845314
ADAM30	-0.293580809
ADAM32	-1.273175062
ADAM33	-0.366497826
ADAM7	-1.471424625
ADAM8	2.356420956
ADAM9	0.613075606
ADAMDEC1	-0.375906864
ADAMTS1	-0.304993182
ADAMTS10	1.822639156
ADAMTS12	0.060228558
ADAMTS13	0.798642597
ADAMTS14	0.304980417
ADAMTS15	-0.848001101
ADAMTS16	-1.234289479
ADAMTS17	0.465901237
ADAMTS18	-1.164091129
ADAMTS19	0.395505174
ADAMTS2	-1.376618909
ADAMTS20	-0.45957578
ADAMTS3	-0.115781459
ADAMTS4	1.002178317
ADAMTS5	-0.512856554
ADAMTS6	-0.144748398
ADAMTS7	-0.051144036
ADAMTS8	0.232974945
ADAMTS9	-1.36884691
ADAMTSL1	-0.175898879
ADAMTSL2	1.260175975
ADAMTSL3	-1.990413539
ADAMTSL4	0.999911697
ADAMTSL5	0.770146366
ADAP1	-0.875813772
ADAP2	-0.45489721
ADAR	-0.470391621
ADARB1	0.67792019
ADARB2	-1.110758268
ADAT1	-1.212630849
ADAT2	1.082944275
ADAT3	-0.327254326
ADCK1	0.758468722
ADCK2	-0.147501892
ADCK5	0.073313664
ADCY1	-0.330835478
ADCY10	-2.284583297
ADCY2	-0.579541884
ADCY3	0.081645691
ADCY4	-0.517390946
ADCY5	1.463201775
ADCY6	0.410521853
ADCY7	-0.55732678
ADCY8	-0.528929512
ADCY9	-0.277097172
ADCYAP1	-0.861266206
ADCYAP1R1	-0.472147823
ADD1	0.134685106
ADD2	0.270958793
ADD3	0.972331925
ADGB	-1.186796051
ADGRA1	-0.941977436
ADGRA2	-0.426813701
ADGRA3	0.366529725
ADGRB1	0.947882854
ADGRB2	-0.96312261
ADGRB3	1.4070595
ADGRD1	-1.143994057
ADGRD2	-1.388214175
ADGRE1	-1.939176308
ADGRE2	-1.899402148
ADGRE3	-1.872085642
ADGRE5	0.874982491
ADGRF1	0.054200166
ADGRF3	-1.680091289
ADGRF4	-0.357213384
ADGRF5	-0.775210859
ADGRG1	3.021488441
ADGRG2	-0.462930351
ADGRG3	-0.679686921
ADGRG4	-1.864069977
ADGRG5	-0.97194786
ADGRG6	-0.205862424
ADGRG7	-1.280330159
ADGRL1	0.894007312
ADGRL2	-0.10116307
ADGRL3	-1.014185533
ADGRL4	-0.039978935
ADGRV1	-0.46463361
ADH1A	-1.242772317
ADH1B	-1.520934243
ADH1C	0.131374581
ADH4	-0.29653915
ADH5	0.881319741
ADH6	0.095352582
ADH7	-0.752889617
ADHFE1	1.137983877
ADI1	0.274535663
ADIG	0.168597523
ADIPOQ	0.158017469
ADIPOR1	0.913711408
ADIPOR2	-0.425102826
ADIRF	0.467516122
ADISSP	1.875110114
ADK	0.1140567
ADM	-1.003421277
ADM2	-0.550950369
ADM5	0.747988273
ADNP	0.720260245
ADNP2	-0.196561241
ADO	1.153172546
ADORA1	0.719547967
ADORA2A	-1.081439316
ADORA2B	-1.200729433
ADORA3	1.215399423
ADPGK	-0.130871015
ADPRH	0.106377766
ADPRHL1	0.171054054
ADPRM	-0.985177635
ADPRS	0.270433498
ADRA1A	-0.876102623
ADRA1B	-0.684565553
ADRA1D	-1.012966123
ADRA2A	0.165998047
ADRA2B	0.072285588
ADRA2C	0.394459061
ADRB1	0.051603334
ADRB2	0.508777049
ADRB3	-0.097016026
ADRM1	-0.612138758
ADSL	0.561306347
ADSS1	0.939522631
ADSS2	0.246566075
ADTRP	-0.226749176
AEBP1	0.759539747
AEBP2	0.499411291
AEN	0.452655877
AFAP1	2.365823147
AFAP1L1	-0.331361572
AFAP1L2	-1.850069994
AFDN	0.498576833
AFF1	0.841405164
AFF2	-0.26098241
AFF3	-0.083845531
AFF4	1.882990011
AFG1L	0.000596487
AFG2A	1.224575176
AFG2B	0.707363717
AFG3L2	0.210796409
AFM	0.284719161
AFMID	0.020733047
AFP	0.875677916
AFTPH	0.867290262
AGA	0.45466317
AGAP1	0.390002849
AGAP2	0.01442264
AGAP3	1.117175648
AGAP4	1.194533479
AGAP5	0.633307249
AGAP6	0.843737254
AGAP9	0.170196665
AGBL1	0.046787683
AGBL2	-0.298663042
AGBL3	0.438088967
AGBL4	-0.780932033
AGBL5	-0.744692923
AGER	-0.15815436
AGFG1	1.054584255
AGFG2	0.07036773
AGGF1	0.870981389
AGK	-0.913693275
AGL	0.836721992
AGMAT	1.702173534
AGMO	0.465736865
AGO1	-0.858338697
AGO2	0.697812582
AGO3	2.700108891
AGO4	1.24974377
AGPAT1	2.861190235
AGPAT2	1.999151977
AGPAT3	-0.009193057
AGPAT4	-0.535353337
AGPAT5	0.68305138
AGPS	0.736621849
AGR2	0.39134628
AGR3	-0.569356084
AGRN	0.681817435
AGRP	0.649350533
AGT	-1.347523393
AGTPBP1	1.484739534
AGTR1	-0.39750923
AGTR2	-0.86160892
AGTRAP	0.647937452
AGXT	-1.533585117
AGXT2	-0.523109453
AHCTF1	-0.099540582
AHCY	0.387479695
AHCYL1	1.346676001
AHCYL2	-0.272757194
AHDC1	2.4372141
AHI1	0.12642034
AHNAK	-0.391974301
AHNAK2	0.294429881
AHR	1.098036163
AHRR	-1.450055008
AHSA1	0.672555056
AHSG	0.36870485
AHSP	-1.241859325
AICDA	0.180657002
AIDA	0.743717716
AIF1	1.015966686
AIF1L	1.155144844
AIFM1	0.008009818
AIFM2	-0.480949837
AIFM3	0.652575838
AIG1	-0.576224005
AIM2	0.094691068
AIMP1	0.371561834
AIMP2	1.630410936
AIP	1.330540106
AIPL1	-1.001903227
AIRE	-1.294089799
AIRIM	0.584134972
AJAP1	-0.986543625
AJM1	1.945714435
AJUBA	-0.518697585
AK1	0.378321423
AK2	0.079917119
AK3	0.222012253
AK4	-0.281664839
AK5	0.809416569
AK6	0.168790355
AK7	-0.389714978
AK8	-1.422675938
AK9	-0.025254106
AKAIN1	-0.899825409
AKAP1	1.726820465
AKAP10	2.685397324
AKAP11	-0.190347246
AKAP12	-0.118919558
AKAP13	-0.549073712
AKAP14	0.121826573
AKAP17A	0.079450063
AKAP3	-1.132453217
AKAP4	-0.228346004
AKAP5	1.686744078
AKAP6	0.462816576
AKAP7	-0.798326369
AKAP8	-0.137470163
AKAP8L	-0.471936312
AKAP9	-0.157286897
AKIP1	0.341483224
AKIRIN1	0.862707652
AKIRIN2	0.615207144
AKNA	0.402136769
AKNAD1	-0.208265695
AKR1A1	-0.151093303
AKR1B1	0.251580342
AKR1B10	0.186549867
AKR1B15	0.039182634
AKR1C1	-1.47663252
AKR1C2	-1.48473466
AKR1C3	-0.904120192
AKR1C4	-1.952772733
AKR1C8	-1.943832534
AKR1D1	-0.596938693
AKR1E2	-0.864245848
AKR7A2	0.839389562
AKR7A3	-1.344704465
AKT1	0.946029081
AKT1S1	3.789170872
AKT2	2.647769379
AKT3	0.678876196
AKTIP	-0.017460113
ALAD	0.289016672
ALAS1	-0.187120438
ALAS2	-0.05966035
ALB	-0.057588806
ALCAM	0.640528722
ALDH16A1	0.652932817
ALDH18A1	0.589372204
ALDH1A1	-1.087244135
ALDH1A2	-0.436988431
ALDH1A3	0.62885264
ALDH1B1	0.68742249
ALDH1L1	-0.321534599
ALDH1L2	0.055922417
ALDH2	-0.183806147
ALDH3A1	2.51544441
ALDH3A2	-0.436353478
ALDH3B1	0.300374504
ALDH3B2	-0.245119289
ALDH4A1	0.207484179
ALDH5A1	0.214500308
ALDH6A1	0.500821665
ALDH7A1	0.686222645
ALDH8A1	0.307617657
ALDH9A1	0.998961005
ALDOA	-1.05813067
ALDOB	-1.118283398
ALDOC	-0.467607253
ALG1	0.777843863
ALG10	0.289151858
ALG10B	0.437710362
ALG11	-0.066363193
ALG12	0.898319019
ALG13	1.674615861
ALG14	-0.284784263
ALG1L2	0.264063566
ALG2	-1.161206124
ALG3	-1.34503861
ALG5	0.217935597
ALG6	-0.091450199
ALG8	-0.29922202
ALG9	0.486993046
ALK	0.595643523
ALKAL1	-0.780035253
ALKAL2	0.288233191
ALKBH1	1.014222578
ALKBH2	0.931726998
ALKBH3	-0.655072773
ALKBH4	0.640630994
ALKBH5	0.927103197
ALKBH6	-0.404156622
ALKBH7	-0.709434073
ALKBH8	-0.317488766
ALLC	0.016299778
ALMS1	-1.208179413
ALOX12	0.587223934
ALOX12B	-0.790307204
ALOX15	-0.073050202
ALOX15B	-0.629234362
ALOX5	0.639516794
ALOX5AP	1.036658017
ALOXE3	-0.902105983
ALPG	0.086953005
ALPI	0.193322242
ALPK1	-1.019895941
ALPK2	0.298300604
ALPK3	0.120319542
ALPL	-1.113074295
ALPP	-1.552668302
ALS2	1.021487019
ALS2CL	0.890751251
ALX1	-0.916815963
ALX3	0.066576184
ALX4	0.74660801
ALYREF	-0.415973808
AMACR	0.63209262
AMBN	0.257507066
AMBP	-1.362578594
AMBRA1	-1.114972867
AMD1	-0.406539981
AMDHD1	-0.414984733
AMDHD2	-1.386413291
AMELX	-0.172642701
AMELY	-0.325631762
AMER1	0.799988284
AMER2	0.394509678
AMER3	-0.559768778
AMFR	1.504547109
AMH	2.432472299
AMHR2	0.918264651
AMIGO1	-0.265498535
AMIGO2	0.145962949
AMIGO3	4.866531277
AMMECR1	-0.373170421
AMMECR1L	-0.513464412
AMN	-0.838927334
AMN1	-1.102002762
AMOT	0.500558596
AMOTL1	-0.955738629
AMOTL2	2.329549245
AMPD1	0.436453297
AMPD2	-0.033194626
AMPD3	0.398651784
AMPH	-1.04175101
AMT	1.710086262
AMTN	-0.658058221
AMY1A	-0.544097674
AMY1B	-0.517302766
AMY1C	-0.540255651
AMY2A	-0.605167067
AMY2B	0.335456969
AMZ1	0.266532056
AMZ2	-0.348957764
ANAPC1	0.144158228
ANAPC10	-1.629173392
ANAPC11	-0.665277767
ANAPC13	0.897957939
ANAPC15	2.356472841
ANAPC16	0.256380624
ANAPC2	1.724966286
ANAPC4	-0.084246573
ANAPC5	0.650560739
ANAPC7	-0.622398394
ANG	0.445555419
ANGEL1	-0.415117776
ANGEL2	1.294255906
ANGPT1	-1.054370261
ANGPT2	-0.396775125
ANGPT4	-0.623906812
ANGPTL1	0.296975976
ANGPTL2	-1.236358864
ANGPTL3	1.856306749
ANGPTL4	0.324996761
ANGPTL5	-0.960012622
ANGPTL6	-0.312998776
ANGPTL7	0.690503702
ANGPTL8	-0.485398098
ANHX	-1.340606088
ANK1	-0.723375586
ANK2	0.264579521
ANK3	1.441253981
ANKAR	-1.549880241
ANKDD1A	-1.765353207
ANKDD1B	-0.222917395
ANKEF1	0.867082858
ANKFN1	-0.836288145
ANKFY1	1.51756297
ANKH	-0.292564828
ANKHD1	0.796663243
ANKIB1	0.480135495
ANKK1	0.050271424
ANKLE1	-0.465792727
ANKLE2	0.496268487
ANKMY1	-1.527561977
ANKMY2	0.459399101
ANKRA2	0.077920812
ANKRD1	-0.028842421
ANKRD10	0.50705336
ANKRD11	0.43686917
ANKRD12	1.43133594
ANKRD13A	-0.308443165
ANKRD13B	-1.783436108
ANKRD13C	-1.603811291
ANKRD13D	-1.551003999
ANKRD16	-0.117469226
ANKRD17	0.543130425
ANKRD18A	0.400214829
ANKRD18B	0.057228642
ANKRD2	0.022624684
ANKRD20A1	1.277964947
ANKRD22	0.65138941
ANKRD23	-0.154103811
ANKRD24	0.133474982
ANKRD26	0.253801771
ANKRD27	-0.207793256
ANKRD28	0.960406889
ANKRD29	0.894722846
ANKRD30A	-0.489715976
ANKRD30B	-0.655420464
ANKRD30BL	0.28392709
ANKRD31	-0.065182474
ANKRD33	-0.659976345
ANKRD33B	0.558038294
ANKRD34A	-0.029556587
ANKRD34B	-0.638800568
ANKRD34C	-0.289258603
ANKRD35	-0.069499686
ANKRD36	0.300594708
ANKRD36B	-0.311236307
ANKRD36C	-0.047801838
ANKRD37	1.473932767
ANKRD39	-1.437077601
ANKRD40	-0.311481234
ANKRD40CL	-0.262426189
ANKRD42	0.452295506
ANKRD44	0.554282634
ANKRD45	-1.360779907
ANKRD46	0.528064427
ANKRD49	1.0752738
ANKRD50	-0.112067925
ANKRD52	0.367780889
ANKRD53	1.556471145
ANKRD54	0.619422391
ANKRD55	0.14408631
ANKRD6	0.19258864
ANKRD60	-0.375464832
ANKRD61	-0.024638326
ANKRD62	-0.406961767
ANKRD63	-0.264834025
ANKRD65	1.111227761
ANKRD66	0.181220365
ANKRD7	-0.885517278
ANKRD9	0.261031027
ANKS1A	2.069271525
ANKS1B	1.153166483
ANKS3	0.894468995
ANKS4B	-0.750401304
ANKS6	-0.457810865
ANKUB1	0.487763081
ANKZF1	-0.05825488
ANLN	-1.066791254
ANO1	-0.770113063
ANO10	-1.081480351
ANO2	0.019841669
ANO3	-0.390477455
ANO4	0.546130835
ANO5	-0.452386138
ANO6	-0.122363889
ANO7	1.197682285
ANO8	1.413102299
ANO9	-1.499249644
ANOS1	-0.711482232
ANP32A	-1.695177769
ANP32B	1.272346077
ANP32D	-1.374599041
ANP32E	0.946436264
ANPEP	-1.076665342
ANTKMT	2.721005884
ANTXR1	0.337025865
ANTXR2	-0.23943264
ANTXRL	-1.127286066
ANXA1	-0.284485951
ANXA10	-1.359862558
ANXA11	-1.297262217
ANXA13	0.262723342
ANXA2	-0.073127326
ANXA2R	-0.910610562
ANXA3	0.09893791
ANXA4	0.489590675
ANXA5	0.022486616
ANXA6	-0.373338431
ANXA7	-0.626483771
ANXA8	0.651947387
ANXA8L1	1.596943214
ANXA9	-0.767824712
AOAH	-0.504342471
AOC1	-0.347025298
AOC2	0.943744537
AOC3	-0.322660183
AOPEP	0.317927286
AOX1	-0.989926433
AP1AR	0.96552965
AP1B1	1.47990961
AP1G1	0.636583037
AP1G2	-0.721233814
AP1M1	4.406936485
AP1M2	-0.175860897
AP1S1	1.719001068
AP1S2	-0.040593092
AP1S3	-0.602311715
AP2A1	-0.128742415
AP2A2	0.773720564
AP2B1	0.741983167
AP2M1	0.69976726
AP2S1	1.818536922
AP3B1	0.850868177
AP3B2	0.060254805
AP3D1	0.404209186
AP3M1	0.508789358
AP3M2	0.212882414
AP3S1	0.96405415
AP3S2	1.891715044
AP4B1	0.692530001
AP4E1	0.924926777
AP4M1	-1.263020604
AP4S1	1.483172839
AP5B1	-1.156722865
AP5M1	0.240232148
AP5S1	0.181838522
AP5Z1	0.332511382
APAF1	1.742852441
APBA1	-1.754944502
APBA2	-1.162551107
APBA3	0.255910986
APBB1	0.282927876
APBB1IP	0.047677705
APBB2	0.321830118
APBB3	0.772191815
APC	1.301290187
APC2	-1.503058691
APCDD1	0.953480025
APCDD1L	-0.065622862
APCS	-1.43549129
APEH	-0.859470481
APELA	0.303288837
APEX1	-0.066051737
APEX2	-0.01423275
APH1A	-0.187029934
APH1B	0.512854724
API5	-0.248933171
APIP	-0.301746195
APLF	0.483245913
APLN	0.643476732
APLNR	0.054269489
APLP1	0.695411858
APLP2	-0.34914005
APMAP	1.014197647
APOA1	-0.662649287
APOA2	0.214573958
APOA4	0.762626719
APOA5	-0.465833477
APOB	-0.939023538
APOBEC1	0.380977883
APOBEC2	1.590673574
APOBEC3A	-0.040742529
APOBEC3A_B	
APOBEC3B	-1.382615798
APOBEC3C	1.725377769
APOBEC3D	2.301148548
APOBEC3F	0.764864437
APOBEC3G	0.53430086
APOBEC3H	0.522531061
APOBEC4	0.062229236
APOBR	0.855408245
APOC1	-0.763987859
APOC2	-1.581065304
APOC3	1.279725949
APOC4	0.444899362
APOD	-0.09799694
APOE	0.357050414
APOF	0.468001503
APOH	-0.994112678
APOL1	-0.387621672
APOL2	1.022791269
APOL3	0.194782044
APOL4	-0.371487233
APOL5	-0.515351623
APOL6	-0.477817706
APOLD1	0.515978925
APOM	0.146524369
APOO	1.325952276
APOOL	-1.350617271
APP	0.009387331
APPBP2	0.618411766
APPL1	0.467612725
APPL2	-1.255594194
APRT	0.847970021
APTX	0.096892123
AQP1	-0.201384777
AQP10	-0.022694386
AQP11	0.432735684
AQP12A	1.056380389
AQP12B	0.054668023
AQP2	-0.280253572
AQP3	-0.026965571
AQP4	-0.986588799
AQP5	-0.533040273
AQP6	0.95589735
AQP7	-0.181442106
AQP7B	-0.8501852
AQP8	0.20526566
AQP9	0.341069431
AQR	-0.034054884
AR	-0.363435648
ARAF	3.970770413
ARAP1	0.474040246
ARAP2	-0.305048467
ARAP3	-0.875510899
ARB2A	0.632122983
ARC	-1.866168682
ARCN1	1.313099465
AREG	0.191609482
AREL1	1.897547342
ARF1	1.643848288
ARF3	0.499814974
ARF4	0.538245931
ARF5	0.69754924
ARF6	0.798431278
ARFGAP1	1.109632008
ARFGAP2	3.577164565
ARFGAP3	0.900076383
ARFGEF1	0.153384455
ARFGEF2	-0.604553699
ARFGEF3	-0.089404834
ARFIP1	0.985937556
ARFIP2	0.362602142
ARFRP1	2.684171129
ARG1	0.334523725
ARG2	-0.556865924
ARGFX	-0.19579989
ARGLU1	0.610328811
ARHGAP1	0.696462845
ARHGAP10	-0.440518108
ARHGAP11A	0.023374808
ARHGAP11B	0.636396505
ARHGAP12	0.287375006
ARHGAP15	0.129341617
ARHGAP17	0.355026462
ARHGAP18	0.232967082
ARHGAP19	0.411752592
ARHGAP20	-0.056430908
ARHGAP21	0.156984606
ARHGAP22	0.63620089
ARHGAP23	0.994722877
ARHGAP24	0.01790476
ARHGAP25	0.27488692
ARHGAP26	-1.460942681
ARHGAP27	0.151508388
ARHGAP28	0.664170179
ARHGAP29	-0.804822378
ARHGAP30	-0.180792699
ARHGAP31	0.670946087
ARHGAP32	1.28923347
ARHGAP33	1.66855938
ARHGAP35	1.492195144
ARHGAP36	-0.183078518
ARHGAP39	0.242489038
ARHGAP4	-0.461180215
ARHGAP40	-1.676428014
ARHGAP42	0.516626103
ARHGAP44	-0.5397897
ARHGAP45	-1.526252714
ARHGAP5	0.210740568
ARHGAP6	0.752776239
ARHGAP8	-0.743375853
ARHGAP9	-0.246090549
ARHGDIA	-0.326553837
ARHGDIB	-0.494392476
ARHGDIG	2.469289807
ARHGEF1	1.081972494
ARHGEF10	-0.131788956
ARHGEF10L	-0.539130805
ARHGEF11	2.470955986
ARHGEF12	0.271708087
ARHGEF15	-1.726140439
ARHGEF16	0.691199991
ARHGEF17	0.582812617
ARHGEF18	-1.436449685
ARHGEF19	0.516799181
ARHGEF2	-0.585157922
ARHGEF25	-0.27529068
ARHGEF26	-0.03974729
ARHGEF28	0.404402607
ARHGEF3	0.096097636
ARHGEF33	0.38549921
ARHGEF35	0.117415824
ARHGEF37	1.151246971
ARHGEF38	-0.050401155
ARHGEF39	0.275005037
ARHGEF4	0.389144051
ARHGEF40	0.687337493
ARHGEF5	-0.732123355
ARHGEF6	-1.657834094
ARHGEF7	0.198721924
ARHGEF9	-0.485959862
ARID1A	0.506686136
ARID1B	0.407655143
ARID2	-0.804232713
ARID3A	2.70897384
ARID3B	1.493343646
ARID3C	-1.230732545
ARID4A	0.850852738
ARID4B	1.574164736
ARID5A	-1.727214175
ARID5B	0.105153357
ARIH1	-0.806312049
ARIH2	-0.645743459
ARK2C	-0.641212837
ARK2N	1.595456063
ARL1	-1.458889771
ARL10	-1.065980096
ARL11	0.042058858
ARL13A	-0.686307518
ARL13B	0.392903833
ARL14	0.08226241
ARL14EP	0.170006219
ARL14EPL	-0.928415029
ARL15	0.788437092
ARL16	3.524104922
ARL17A	-1.038202693
ARL17B	-0.977381283
ARL2	0.733403708
ARL2BP	0.937292853
ARL3	0.762026646
ARL4A	-0.205756811
ARL4C	0.786102474
ARL4D	-0.410308894
ARL5A	1.072017947
ARL5B	0.718129374
ARL5C	-0.703370836
ARL6	-0.823800753
ARL6IP1	0.728309045
ARL6IP4	2.390250003
ARL6IP5	1.428183212
ARL6IP6	0.46766845
ARL8A	2.591214519
ARL8B	0.366166708
ARL9	0.414869539
ARMC1	0.402944152
ARMC10	0.072970445
ARMC12	-0.413563991
ARMC2	-1.363725425
ARMC3	0.496618176
ARMC5	1.137168283
ARMC6	-0.438415489
ARMC7	0.45111125
ARMC8	0.864255981
ARMC9	0.219718359
ARMCX1	-0.90578196
ARMCX2	-0.87628542
ARMCX3	-0.864370929
ARMCX4	-0.553573421
ARMCX5	-1.128471279
ARMCX6	0.399213836
ARMH1	-0.617998354
ARMH2	-0.055748614
ARMH3	1.027384929
ARMH4	0.550407418
ARMS2	0.993660203
ARMT1	0.597868983
ARNT	-0.047896595
ARNT2	-0.918291716
ARPC1A	-0.235912072
ARPC1B	1.803449746
ARPC2	0.380400485
ARPC3	-0.181726563
ARPC4	-0.131562248
ARPC5	0.187979034
ARPC5L	-0.094822273
ARPIN	-1.294350904
ARPP19	-1.023692952
ARPP21	0.726023619
ARR3	-0.624958069
ARRB1	0.428247541
ARRB2	3.200931696
ARRDC1	1.196518614
ARRDC2	-0.095602626
ARRDC3	2.033038281
ARRDC4	0.152513777
ARRDC5	0.213138
ARSA	-1.631276432
ARSB	-1.391787345
ARSD	-1.317864752
ARSF	-1.376013758
ARSG	-0.999294251
ARSH	-2.047678199
ARSI	-1.234743824
ARSJ	-0.078950192
ARSK	0.360289198
ARSL	-0.8940921
ART1	-0.60503405
ART3	0.493333101
ART4	0.891655447
ART5	-1.378047118
ARTN	1.381100116
ARV1	-0.357350546
ARVCF	-0.096678155
ARX	-0.552522004
AS3MT	-0.351618072
ASAH1	0.96155064
ASAH2	-0.721449119
